Barcode,File Name,Year,Period,Slaves,Slave Name,Middle Name,Surname,Alias,Gender,Age,Physical Description,Spouse's Name,Child(ren),Parent(s),Enslaver_Buyer,Enslaver's Alias,"Prior Enslaver's Name, if applicable / Trafficker",Locality,Source
7741628,_0002_0012_0001-0003,1807,1801-1820,1,Solomon,,,,M,,,,,,John McAllister,,Edmund W Walker,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133718,_0006_0002_0001-0002,1807,1801-1820,1,Jane,,,Jenny,F,,,,,,Unknown,,,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0006_0002_0001-0002,1807,1801-1820,1,Edmund,,,,M,,,,,,William Drummond,,John Satchell,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0003_0001-0002,1808,1801-1820,1,Candis,,,,F,,,,,,Andrew,,Mary Hargis,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0001_0001-0002,1808,1801-1820,1,Tabither,,,,Unknown,,,,,,Ann Meriah Parker,Anna Maria Parker,Richard Kelley,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0001_0001-0002,1808,1801-1820,1,Peter,,,,Unknown,,,,,,Ann Meriah Parker,Anna Maria Parker,Richard Kelley,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0001_0005_0001-0004,1808,1801-1820,1,Tobby,,,,M,,,,,,Arthur Savage,,William P. Moore,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0001_0005_0001-0004,1808,1801-1820,1,Betty,,,,F,,,,,,Arthur Savage,,William P Moore,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0001_0005_0001-0004,1808,1801-1820,1,Easor,,,,M,,,,,,Arthur Savage,,William P Moore,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0001_0005_0001-0004,1808,1801-1820,1,Shepherd,,,,M,,,,,,Arthur Savage,,William P Moore,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0004_0001-0002,1808,1801-1820,1,Bethany,,,,Unknown,,,,,,Charlotte Henderson,,William Selby,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0004_0001-0002,1808,1801-1820,1,Nancy,,,,Unknown,,,,,,Charlotte Henderson,,William Selby,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0004_0001-0002,1808,1801-1820,1,Maria,,,,Unknown,,,,,,Charlotte Henderson,,William Selby,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0004_0001-0002,1808,1801-1820,1,David,,,,Unknown,,,,,,Charlotte Henderson,,William Selby,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133868,_0002_0002_0001-0002,1808,1801-1820,1,Lettey,,,,F,,,,unnamed,,Jesse Robins,,Henry Hinton,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133868,_0002_0002_0001-0002,1808,1801-1820,1,Mimey,,,,F,,,,unnamed,,Jesse Robins,,Henry Hinton,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133868,_0002_0002_0001-0002,1808,1801-1820,1,Anney,,,,F,,,,,,Jesse Robins,,Henry Hinton,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133729,_0001_0001_0001-0002,1808,1801-1820,1,Mary,Cropper,Stutson,,F,2,,,,,Joshua Stutson,,John Marshall,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0002_0002_0001-0002,1808,1801-1820,1,Benjamin,,,,M,56,,,,,Margaret Ewell,,William Ewell,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133718,_0011_0002_0001-0002,1808,1801-1820,1,Tabby,,,,F,,,,,,Polly A. Outten; George T. Outten; Julian Outten; Fanny Outten; John P. Outten,,George Teackle,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0001_0006_0001-0002,1808,1801-1820,1,Robert,,,,M,,,,,,Sinah Harman,,John Field,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1188995,_0007_0007_0001-0001,1808,1801-1820,1,Sam,,,,M,,,,,,Unknown,,Samuel Jordan,Norfolk County,"Norfolk County (Va.) Free Negro and Slave Records, 1718-1862"
1133729,_0006_0002_0001-0002,1809,1801-1820,1,Moses,,,,M,,,,,,Charles West,,Beverly Copes,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0003_0001_0001-0002,1809,1801-1820,1,Gabe,,,,Unknown,,,,,,George Coleburn,,Zorobabel Kellam,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0003_0001_0001-0002,1809,1801-1820,1,Sampson,,,,Unknown,,,,,,George Coleburn,,Zorobabel Kellam,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0002_0013_0001-0003,1809,1801-1820,1,Nathan,,,,Unknown,,,,,,John Hancock,,Robert Clarke,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0013_0001-0003,1809,1801-1820,1,Jude,,,,Unknown,,,,,,John Hancock,,Robert Clarke,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0013_0001-0003,1809,1801-1820,1,David,,,,Unknown,,,,,,John Hancock,,Robert Clarke,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0013_0001-0003,1809,1801-1820,1,Abram,,,,Unknown,,,,,,John Hancock,,Robert Clarke,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133729,_0008_0001_0001-0003,1809,1801-1820,1,Jacob,,,,M,,,,,,William Lecato,,John Belote Jr.,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0005_0001_0001-0003,1809,1801-1820,1,Tab,,,,F,,,,,,William Lecato,,Carvey Dunton; Thomas Robins,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133729,_0005_0001_0001-0003,1809,1801-1820,1,George,,,,M,,,,,,William Lecato,,Carvey Dunton; Thomas Robins,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0002_0014_0001-0004,1810,1801-1820,1,Lucy,,,,F,,,,Dick; Dice,,Benjamin Moore,,Tarlton Jones; Edward Jones; Samuel Jones,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0014_0001-0004,1810,1801-1820,1,Alick,,,,M,,,,,,Benjamin Moore,,Tarlton Jones; Edward Jones; Samuel Jones,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0014_0001-0004,1810,1801-1820,1,Dick,,,,Unknown,,,,,Lucy,Benjamin Moore,,Tarlton Jones; Edward Jones; Samuel Jones,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0014_0001-0004,1810,1801-1820,1,Dice,,,,Unknown,,,,,Lucy,Benjamin Moore,,Tarlton Jones; Edward Jones; Samuel Jones,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133731,_0004_0001_0001-0002,1810,1801-1820,1,Susanner,,,,F,,,,,,John Bird Jr.,,Samuel Johnson,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133868,_0002_0003_0001-0002,1811,1801-1820,1,Jack,,,,Unknown,,,,,,Baldwin M Leland,,LeRoy P Leland,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133868,_0002_0003_0001-0002,1811,1801-1820,1,Amy,,,Aney,Unknown,,,,,,Baldwin M Leland,,LeRoy P Leland,Lancaster County,"Lancaster County (Va.) Free Negro and Slave Records, 1751-1861"
1133731,_0006_0001_0001-0002,1811,1801-1820,1,Harry,,,,Unknown,,,,,,Daniel Twiford,,Charles Savage,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Zedock,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Edmond,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,James,,,Big James,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,James,,,Little James,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,John,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Stran,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Bill,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Cate,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Pegg,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Silve,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Marey,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Moses,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Nanney,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0008_0001_0001-0002,1811,1801-1820,1,Ador,,,,Unknown,,,,,,Pattey Walker,Patty Walker,Henry Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0009_0002_0001-0002,1811,1801-1820,1,Guy,,,,M,,,,,,Ralph Corbin,,William Corbin,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0009_0002_0001-0002,1811,1801-1820,1,Henry,,,,M,,small boy,,,,Ralph Corbin,,William Corbin,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0005_0001_0001-0002,1811,1801-1820,1,George,,,,Unknown,,,,,,Samuel Coward,,William R Bunting,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0005_0001_0001-0002,1811,1801-1820,1,Edmond,,,,Unknown,,,,,,Samuel Coward,,William R Bunting,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0005_0001_0001-0002,1811,1801-1820,1,Leah,,,,Unknown,,,,,,Samuel Coward,,William R Bunting,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0006_0002_0001-0002,1811,1801-1820,1,Tabby,,,,F,9,,,,,Tully Snead; Francis Only,,Robert Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0006_0002_0001-0002,1811,1801-1820,1,Leah,,,,F,16,,,,,Tully Snead; Francis Only,,Robert Walker,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0002_0016_0001-0003,1812,1801-1820,1,Nancy,,,,F,,,,,,Betsy Hensbarger Gamble; Alexander Gamble,,Estate of Joshua Douglass Dec'd,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133731,_0010_0001_0001-0002,1812,1801-1820,1,Major,,,,M,,,,,,Crippen Taylor,Crippen Tayler,William Young Sr.,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0010_0001_0001-0002,1812,1801-1820,1,Littelton,,,Littleton,M,,,,,,Crippen Taylor,Crippen Tayler,William Young Sr,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0010_0002_0001-0002,1812,1801-1820,1,Aimey,,,Amy,F,,,Derry Broadwater,Leah,,Derry Broadwater,,David James,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133731,_0010_0002_0001-0002,1812,1801-1820,1,Leah,,,,Unknown,,,,,Aimey; Derry Broadwater,Derry Broadwater,,David James,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0002_0015_0001-0002,1812,1801-1820,1,Dina,,,,F,,,,,,Polly Douglass,,Estate of Joshua Douglass Dec'd,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0018_0001-0003,1813,1801-1820,1,Lucy,,,,Unknown,,,,,,Randolph D Carden,,James Wade,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0018_0001-0003,1813,1801-1820,1,Jack,,,,Unknown,,,,,,Randolph D Carden,,James Wade,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0018_0001-0003,1813,1801-1820,1,Hannah,,,,Unknown,,,,,,Randolph D Carden,,James Wade,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0018_0001-0003,1813,1801-1820,1,Page,,,,Unknown,,,,,,Randolph D Carden,,James Wade,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Henry,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Bob,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Billey,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Asberry,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Sam,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Fanney,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Phillis,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Cealey,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Nancy,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0017_0001-0002,1813,1801-1820,1,Jane,,,,Unknown,,,,,,Thomas B Jones,,George J Stovall,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0020_0001-0002,1814,1801-1820,1,Thomas,,,,M,,,,,,Jonathan Bailey,,Jacob Butler,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0019_0001-0005,1814,1801-1820,1,Annis,,,,F,,,,,,William Trigg; Jesse Leftwich,,George Simpson,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133704,_0009_0001_0001-0002,1815,1801-1820,1,Rhody,,,,F,,,,,,Ann Maria Parker Kelly,,Sarah Kelley,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133704,_0009_0001_0001-0002,1815,1801-1820,1,Levi,,,,M,,,,,,Ann Maria Parker Kelly,,Sarah Kelley,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133704,_0008_0002_0001-0002,1815,1801-1820,1,Agnes,,,,F,,,Major Duffy,,,Major Duffy,,Major Rayfield,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1138014,_0007_0002_0001-0002,1815,1801-1820,1,Polly,,,,F,,,,,,Ralph Longden,,John C. Herbert,Arlington County,"Arlington County (Va.) Free Negro and Slave Records, 1788-1866"
1133704,_0006_0002_0001-0002,1815,1801-1820,1,Naney,,,,F,,,,,,Sarah Floyd,,Ann Stringer; Sarah Stringer,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133704,_0007_0002_0001-0002,1815,1801-1820,1,Sarah,,,,F,,,,,,Thorowgood Taylor,,Edmund Duncan,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133704,_0013_0001_0001-0002,1816,1801-1820,1,Dinah,,,,F,,,,,,James Gibbons,,Jo,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0002_0001_0001-0002,1817,1801-1820,1,John,,,,M,4,,,,Sinah,Edwin L Harris,,George White,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0002_0001_0001-0002,1817,1801-1820,1,Peter,,,,M,8,,,,Sinah,Edwin L Harris,,George White,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0002_0001_0001-0002,1817,1801-1820,1,Letty,,,,F,10,,,,Sinah,Edwin L Harris,,George White,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0002_0001_0001-0002,1817,1801-1820,1,Isaac,,,,M,12,yellow,,,Sinah,Edwin L Harris,,George White,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0002_0001_0001-0002,1817,1801-1820,1,Sarah,,,,F,,,,,Sinah,Edwin L Harris,,George White,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0002_0001_0001-0002,1817,1801-1820,1,Sinah,,,,F,,,,Isaac; Letty; Peter; John; Sarah,,Edwin L. Harris,,George White,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0001_0001_0001-0002,1817,1801-1820,1,Grace,,,,F,,,,Peter,,Ethel Lyon Exr of Sarah Lyon deceased,,Hellen Burton,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0001_0001_0001-0002,1817,1801-1820,1,Tabby,,,,Unknown,,,,,,Ethel Lyon Exr of Sarah Lyon deceased,,Hellen Burton,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0001_0001_0001-0002,1817,1801-1820,1,Peter,,,,Unknown,,,,,Grace,Ethel Lyon Exr of Sarah Lyon deceased,,Hellen Burton,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0001_0001_0001-0002,1817,1801-1820,1,Edmund,,,,Unknown,,,,,,Ethel Lyon Exr of Sarah Lyon deceased,,Hellen Burton,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0001_0001_0001-0002,1817,1801-1820,1,Hillery,,,,Unknown,,,,,,Ethel Lyon Exr of Sarah Lyon deceased,,Hellen Burton,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0001_0001_0001-0002,1817,1801-1820,1,Harry,,,,Unknown,,,,,,"Ethel Lyon Exr of Sarah Lyon, deceased",,Hellen Burton,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0009_0001_0001-0003,1817,1801-1820,1,Leah,,,,F,,,,,,Higgins & McCollom,,Milby Holland,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0009_0001_0001-0003,1817,1801-1820,1,Stephen,,,,M,,,,,,Higgins & McCollom,,Milby Holland,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0009_0002_0001-0002,1817,1801-1820,1,Philis,,,,Unknown,,,,,,John Artis,,William Fletcher,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0009_0002_0001-0002,1817,1801-1820,1,Rachel,,,,Unknown,,,,,,John Artis,,William Fletcher,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0009_0002_0001-0002,1817,1801-1820,1,Mahala,,,,Unknown,,,,,,John Artis,,William Fletcher,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0002_0021_0001-0002,1817,1801-1820,1,Susan,,,,F,,,,,,John M Gordon,,Samuel Scott,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133702,_0007_0002_0001-0002,1817,1801-1820,1,Fillis,,,,F,,,,,,Nancy Glen,,William Fletcher,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0007_0002_0001-0002,1817,1801-1820,1,Rachel,,,,F,,,,,,Nancy Glen,,William Fletcher,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0007_0002_0001-0002,1817,1801-1820,1,Mehaley,,,,F,,,,,,Nancy Glen,,William Fletcher,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0002_0022_0001-0004,1817,1801-1820,1,Losson,,,,M,,,,,,Thomas Franklin,,William North,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
1133702,_0007_0001_0001-0002,1817,1801-1820,1,Judah,,,,Unknown,,,,,,William Moore,,Beaverly Copes,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0007_0001_0001-0002,1817,1801-1820,1,Rachel,,,,Unknown,,,,,,William Moore,,Beaverly Copes,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133702,_0007_0001_0001-0002,1817,1801-1820,1,George,,,,Unknown,,,,,,William Moore,,Beaverly Copes,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
1133551,_0010_0002_0001-0002,1818,1801-1820,1,Ladus,,,,M,,,,,,Abel W. Kellum,,Jonathan Rowles,Accomack County,"Accomack County (Va.) Deeds, 1701-1838 (bulk 1737-1820)"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Nutty,,,,F,,,John Robertson,Molley; Tenah; Rachel,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Quilla,,,,F,,,Sam,Milley; Palsay; Janny; Archer; Tenor; Caty; Sam Jr,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,John,,Robertson,,M,,,Nutty,Molley; Tenah; Rachel,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Sam,,,,M,,,Quilla,Milley; Palsay; Janny; Archer; Tenor; Caty; Sam Jr,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Peter,,,,Unknown,,,,,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Tom,,,,Unknown,,,,,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Spencer,,,,Unknown,,,,,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Jessee,,,,Unknown,,,,,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Stephen,,,,Unknown,,,,,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Jim,,,,Unknown,,,Mary,,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Mary,,,,Unknown,,,Jim,,,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Molley,,,,Unknown,,,,,John Robertson; Nutty,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Tenah,,,,Unknown,,,,,John Robertson; Nutty,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Rachel,,,,Unknown,,,,,John Robertson; Nutty,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
7741628,_0002_0023_0001-0004,1818,1801-1820,1,Milley,,,,Unknown,,,,,Sam; Quilla,Archibald Bryan Jr; William G Poindexter; William Miller,,Robert Mims,Campbell County,"Campbell County (Va.) Deeds, 1783-1873"
