Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
7/29/2018 9:48,7/29/2018 10:30,Manhattan,Central Park,Hallet Nature Sanctuary - 59th street/6th ave,raccoon,Central,Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1595406852,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36328
7/28/2018 14:33,7/28/2018 15:34,Manhattan,Central Park,"Ramble, area known as ""the gill"", along the waterfall, under the bridge",raccoon,Public,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1-594558242,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36259
7/28/2018 12:12,7/28/2018 12:22,Manhattan,Central Park,Bridle Path at W 100th street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1-595449866,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36209
7/27/2018 10:30,7/27/2018 12:00,Manhattan,Central Park,74th St. and West Drive,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36023
7/27/2018 9:30,7/27/2018 10:00,Manhattan,Central Park,"Ramble, The Oven, north of the Lake",raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36013
7/27/2018 9:00,7/27/2018 9:30,Manhattan,Central Park,North Meadow Ball fields,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1594820091,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36012
7/26/2018 10:20,7/26/2018 10:20,Manhattan,Central Park,Delacorte Theater,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1594035353,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35899
7/25/2018 13:15,7/25/2018 13:33,Manhattan,Central Park,In the middle of the driveway behind the Lasker Rink where the parking lot is/ East Dr and E107th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1592372063,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35796
7/18/2018 8:21,7/18/2018 9:28,Manhattan,Central Park,Grand Army Plaza - 5th ave and 59th - between Moore Statue and 59th street pond along path,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1589216055,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34935
7/25/2018 8:35,7/25/2018 9:00,Manhattan,Central Park,Lasker Pool entrance inside Central Park/  East 110th Street and Lennox Ave,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1592912090,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,43195
7/24/2018 13:12,7/24/2018 13:30,Manhattan,Central Park,North Meadow Baseball Field,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1591910384,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35692
7/24/2018 8:30,7/24/2018 9:57,Manhattan,Central Park,At the Conservatory Garden at East 102nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1590959610,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35650
7/23/2018 9:25,7/23/2018 9:45,Manhattan,Central Park,Near the Heckscher Baseball Field.Central Park West and West 63rd Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1592534182,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35529
7/21/2018 14:15,7/21/2018 14:15,Manhattan,Central Park,East 110th Street Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1588253243,Animal Care Center,1,FALSE,FALSE,,,TRUE,FALSE,35372
7/21/2018 9:15,7/21/2018 9:15,Manhattan,Central Park,Central Park East Drive at 106th St,Raccoon,Observed by Ranger,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1591297971,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35291
7/18/2018 18:00,7/19/2018 10:00,Manhattan,Central Park,South Gate (Pump) House by the Reservoir by 86st. and Transverse,Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1590496248,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35083
7/19/2018 9:00,7/19/2018 10:00,Manhattan,Central Park,CP 79th St Yard,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.75,Adult,Small Mammals-RVS,1-1-1590496247,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35069
7/7/2018 9:15,7/7/2018 9:36,Manhattan,Central Park,Strawberry Fields by the Drive,,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-11-584114940,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,40666
6/17/2018 14:30,6/17/2018 15:40,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-11-576043760,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,31565
2/15/2019 9:30,2/15/2019 10:15,Queens,Alley Pond Park,"Oakland Lake 40.75119, -73.759414",Raccoon,Employee,Domestic,Unhealthy,4,Adult,Small Mammals-RVS,1-1-1680782920,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,54915
4/4/2019 8:30,4/4/2019 8:40,Queens,Kissena Park,"Rose Ave and Parsons Blvd in the park on the staircase by the tennis courts (40.7477253, -738101592)",Raccoon,Employee,Native,Unhealthy,3.5,Adult,Small Mammals-RVS,1-1-1700464690,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,75888
3/30/2019 13:00,3/30/2019 13:30,Queens,Forest Park,"40.704718, -73.839654",Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1700071375,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58634
3/25/2019 8:30,3/25/2019 9:16,Queens,Marco Giovanelli Playground,"40.699031, -73.846816, Park Lane South and Freedom Drive",Raccoon,Employee,Native,Unhealthy,1.75,Adult,Small Mammals-RVS,1-1-1695100840,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58076
3/20/2019 11:00,3/20/2019 11:00,Queens,Highland Park,"vehicle access ramp to Ridgewood Reservoir path, 40.691041,-73.884486",Skunk,Observed by Ranger,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-196740070,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57645
3/20/2019 9:10,3/20/2019 9:16,Queens,Flushing Meadows Corona Park,"Olmstead Garage (40.7519437, -73.8510035)",Raccoon,Employee,Native,Unhealthy,4.5,Adult,Small Mammals-RVS,1-1-1696740070,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,74207
3/14/2019 9:00,3/14/2019 9:00,Queens,Juniper Valley Park,"Juniper South Playground, 40.718657, -73.882332",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1689648890,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57031
3/2/2019 15:25,3/2/2019 15:30,Queens,Ehrenreich-Austin Playground,Austin Street and 77 th Rd,Raccoon,Public,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,
2/1/2019 16:15,2/1/2019 16:30,Queens,Alley Pond Park,"40.7469661, -73.7453168   233rd Street and 67th Ave",Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1675124490,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,53924
1/25/2019 16:00,1/25/2019 16:05,Queens,Udall's Park Preserve,Trail entry at Depew Ave and Orient Ave,Raccoon,Public,Native,Unhealthy,4.5,Adult,Small Mammals-RVS,1-1-1674668716,Animal Care Center,3,FALSE,FALSE,,,FALSE,FALSE,53427
12/26/2018 10:30,12/26/2018 11:15,Queens,Alley Pond Park,"On Trail that is around Oakland Lake (40.757929, -73.761438)",Raccoon,Employee,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1657709860,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,64763
12/12/2018 9:00,12/12/2018 9:14,Queens,Juniper Valley Park,"62-84 80th Street (approx address), 40.720669, -73.875839",Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1656810042,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,50319
11/29/2018 13:40,11/29/2018 13:45,Queens,Forest Park,"Between band shell and picnic area 40.699082, -73.858867",Skunk,Employee,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1647482741,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,48364
11/1/2018 9:00,11/1/2018 9:08,Queens,Cunningham Park,"Seven Gables Playground 40.743986,-73.7658497",Raccoon,Employee,Native,Unhealthy,3.5,Adult,Small Mammals-RVS,1-1-163660431,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,57344
11/1/2018 9:00,11/1/2018 9:08,Queens,Alley Pond Park,"Trails near Adventure Course, 40.741493, -73.741202",Raccoon,Observed by Ranger,Native,Unhealthy,2.75,Adult,Small Mammals-RVS,1-1-1629621651,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46169
10/31/2018 12:43,10/31/2018 13:00,Queens,Alley Pond Park,"Adventure Course Building 40.742163, -73.741118",Raccoon,Employee,Native,Unhealthy,2.75,Adult,Small Mammals-RVS,1-1-1638140064,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,46107
10/24/2018 17:20,10/24/2018 17:30,Queens,Cunningham Park,"Soccer Field at 73rd Ave and 210 St. 40.738803, -73.764708",Raccoon,Public,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1631307750,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45456
10/23/2018 9:00,10/23/2018 9:30,Queens,Linnaeus Park,"40.753933, -73.750389",raccoon,Central,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1634925672,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45291
10/16/2018 9:20,10/16/2018 9:40,Queens,Cunningham Park,Sanitation Lot,Raccoon,Employee,Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1631200090,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44628
10/3/2018 12:05,10/3/2018 12:08,Queens,Alley Pond Park,Near the Alley Pond Adventure Course,Raccoon,Employee,Native,Unhealthy,2.5,Adult,Small Mammals-RVS,1-1-1623412531,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,53288
9/30/2018 10:00,9/30/2018 10:15,Queens,Motor Parkway,Bell Blvd on the Overpass,Raccoon,Public,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1624558117,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,42940
3/28/2019 12:15,3/28/2019 12:30,Staten Island,"Schmul Park 40.589434, -74.187249",Basket ball court fence,Raccoon,Central,Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1699698200,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58448
10/17/2018 10:00,10/17/2018 10:15,Staten Island,Annadale Green,Annadale Road and Belfield Avenue,Raccoon,Employee,Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1631862050,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44732
10/31/2018 10:30,10/31/2018 10:35,Staten Island,Bloomingdale Park,In between Lenevar Ave and Maguire Ave,Deer,Employee,Native,Dead on arrival,0.5,Adult,Deer,1-1-1636481360,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
7/21/2018 11:30,7/21/2018 13:00,Manhattan,Battery Park City,,crow,Central,Native,Healthy,1,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
6/4/2019 10:30,6/4/2019 10:35,Manhattan,Central Park,CPW drive at field by W 100st pool,Monk Parakeet,Employee,No data,Healthy,0.75,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
1/18/2019 15:30,1/18/2019 15:40,Manhattan,Ft Tryon Park,Heather Garden,Guinea Pigs,Employee,Domestic,Healthy,0.5,Adult,Domestic,,Advised/Educated others,2,FALSE,FALSE,,,FALSE,FALSE,
8/2/2018 14:45,8/2/2018 14:55,Manhattan,Central Park,Tutrle Pond on East Drive and East 79th,Red-eared Slider Turtle,Public,Domestic,Healthy,0.05,Adult,Domestic,No data,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
5/20/2019 11:40,5/20/2019 12:17,Staten Island,Allison Pond Park,Pond,Snapping turtle,Central,Native,Healthy,0.5,Adult,Other,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
4/5/2019 12:30,4/5/2019 13:00,Manhattan,Centrail Park,Hecksher Ballfields,Opossum,Employee,Native,Healthy,0.5,Adult,Small Mammals-non RVS,,Advised/Educated others,1,TRUE,FALSE,,,FALSE,FALSE,
5/8/2019 14:00,5/8/2019 15:30,Manhattan,Sherman Creek,"40.859929, -73.921817  New York Restoration Project Shed",Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
4/16/2019 11:15,4/16/2019 13:15,Manhattan,Central Park,Lawn South of Hecksher Playground,Raccoon,Public,Native,Healthy,0.5,Adult,Small Mammals-RVS,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
10/17/2018 11:15,10/17/2018 11:15,Manhattan,Carl Schurz Park,Gracie Mansion lawn - tented area,Raccoon,Other,Native,Healthy,0.25,Adult,Small Mammals-RVS,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
3/17/2019 11:00,3/17/2019 11:00,Queens,Forest Park,Myrtle Avenue and Park Lane South,Raccoon,Employee,Native,Healthy,1,Adult,Small Mammals-RVS,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
5/31/2019 13:00,5/31/2019 13:10,Manhattan,Central Park,W110th and CPW; opposite from the playground area near the outside wall of the park,Snapping Turtle,Employee,Native,Healthy,0.75,Adult,Terrestrial Reptile or Amphibian,,Advised/Educated others,1,TRUE,FALSE,,,FALSE,FALSE,
11/15/2018 11:00,11/15/2018 11:00,Manhattan,NYC Parking Garage,53rd St and 5th Ave,woodcock,Public,Native,Injured,0.25,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
10/26/2018 10:00,10/26/2018 10:00,Manhattan,5 East 102nd St,Found on sidewalk at 5 E 102nd St,woodcock,Public,Native,Injured,0.25,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
9/13/2018 9:40,9/13/2018 9:40,Manhattan,Central Park,Dana Center,Rock Dove,"Conservancies/""Friends of"" Groups",Native,Injured,0.25,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
11/30/2018 15:00,11/30/2018 15:00,Manhattan,private property,Lower Manhattan,woodcock,Public,Native,No data,0.25,Adult,Birds,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
3/1/2019 12:40,3/1/2019 12:45,Manhattan,Riverside Park,W91st to W111th,Coyote,Central,Native,No data,2.5,Adult,Other,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
4/9/2019 9:30,4/9/2019 9:30,Staten Island,Willowbrook Park,Willowbrook pond,Domestic Duck,Other,Domestic,No data,1.25,Adult,Domestic,,Advised/Educated others,6,FALSE,FALSE,,,FALSE,FALSE,
8/29/2018 8:30,8/29/2018 8:31,Manhattan,Randall's Island Park,Urban Farms property,pet rabbit,Central,Domestic,No data,0.25,Adult,Small Mammals-non RVS,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
12/3/2018 9:00,12/3/2018 9:00,Manhattan,Jacob H. Schiff Playground,W 136 & Amsterdam,Raccoon,Employee,Native,No data,0.5,Adult,Small Mammals-RVS,,Advised/Educated others,0,FALSE,FALSE,,,FALSE,FALSE,
7/6/2018 8:45,7/6/2018 12:01,Manhattan,Central Park,,raccoon,Employee,Native,No data,0,Adult,Small Mammals-RVS,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
5/17/2019 16:15,5/17/2019 16:15,Manhattan,Madison Square Park,No data,Bat,Employee,Native,No data,0.2,Adult,Small Mammals-RVS,,Advised/Educated others,1,TRUE,FALSE,,,FALSE,FALSE,
8/15/2018 8:30,8/15/2018 8:30,Manhattan,Central Park,The Loeb Boathouse,Raccoon,Central,Native,Unhealthy,0.25,Adult,Small Mammals-RVS,1-1-1601746760,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
12/26/2018 13:30,12/26/2018 14:30,Brooklyn,Prospect Park,Lullwater near Pennisula Trail,Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,3,Adult,Small Mammals-RVS,1-1-1662293061,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,51331
10/25/2018 12:00,10/25/2018 12:30,Brooklyn,Prospect Park,Peninsula 40.656361 - 73.968939,Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,1,Adult,Small Mammals-RVS,1-1-1636062010,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45524
10/24/2018 12:15,10/24/2018 12:30,Brooklyn,Prospect Park,"North Lullwater 40.659659,-73.967850",Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,2,Adult,Small Mammals-RVS,1-1-1632704640,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45406
10/24/2018 11:00,10/24/2018 12:30,Brooklyn,Prospect Park,"Concert Grove 40.658969,-73.963934",Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,2,Adult,Small Mammals-RVS,1-1-1632704640,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45405
10/24/2018 8:00,10/24/2018 12:30,Brooklyn,Prospect Park,"Lookout Hill 40.658186,-73.972560",Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,2,Adult,Small Mammals-RVS,1-1-1632704640,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,45404
10/15/2018 8:00,10/15/2018 9:15,Brooklyn,Prospect Park,BBQ Area near 9th Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,2,Adult,Small Mammals-RVS,1-1-1629059280,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44539
10/10/2018 8:20,10/10/2018 11:20,Brooklyn,Prospect Park,Picnic House,Raccoon,Employee,Native,Dead on arrival,1.5,Adult,Small Mammals-RVS,,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44087
6/4/2019 12:30,6/4/2019 0:45,Manhattan,Central Park,"40.792282, -73.959797 North Meadow Ballfield 4",Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,1,Adult,Small Mammals-RVS,1-1-1729907440,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,64890
4/23/2019 15:00,4/23/2019 15:45,Manhattan,Fort Washington Park,170 Street next to the Greenway,Skunk,Other,Native,Dead on arrival,1,Adult,Small Mammals-RVS,1-1-1711055621,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,60839
4/18/2019 9:45,4/18/2019 13:30,Manhattan,Morningside Park,Northern Morningside Park,Raccoon,Other,Native,Dead on arrival,1.5,Adult,Small Mammals-RVS,1-1-1706046820,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,60355
4/18/2019 8:00,4/18/2019 9:30,Manhattan,Inwood Hill Park,"40.867995, -73.927794 cross streets: Beak St and Payson Ave.",Raccoon,Public,Native,Dead on arrival,1.5,Adult,Small Mammals-RVS,1-1-1709864080,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,60330
3/12/2019 12:00,3/12/2019 12:30,Manhattan,Central Park,"40°47'08.7""N 73°57'27.3""W  ;   between E 92nd & 93rd  & 5th Ave",Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,1,Adult,Small Mammals-RVS,1-1-1690353720,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,56886
2/28/2019 14:00,2/28/2019 14:30,Manhattan,Inwood Hill Park,"In the Clove section of the park, east of the Rock Formations (AKA Indian Caves) East side of Blue trail, on top of the Shell Midden. (40.872589, -73.924204)",Raccoon,Observed by Ranger,Native,Dead on arrival,2.5,Adult,Small Mammals-RVS,1-1-1687457360,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,55993
2/21/2019 16:30,2/21/2019 16:30,Manhattan,Inwood Hill Park,"40.870932, -73.925640 In the Clove section of the park, south of the Rock Formations (AKA Indian Caves) East side of Blue trail underneath a large downed tree.",Raccoon,Public,Native,Dead on arrival,1,Adult,Small Mammals-RVS,1-1-1686093041,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,55405
1/29/2019 7:00,1/29/2019 9:50,Manhattan,Riverside Park,119 Street south of the tennis courts,Raccoon,Central,Native,Dead on arrival,2,Adult,Small Mammals-RVS,1-1-1676140060,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,53674
7/8/2018 10:00,7/8/2018 10:30,Manhattan,Central Park,,Raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,2,Adult,Small Mammals-RVS,,Animal Care Center,,FALSE,FALSE,,,FALSE,FALSE,
4/7/2019 12:30,4/7/2019 13:20,Queens,Forest Park,"Tennis Courts (40.697601, -73.856528)",Raccoon,Employee,Native,Dead on arrival,1.5,Adult,Small Mammals-RVS,1-1-1701121600,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,59423
3/25/2019 15:20,3/25/2019 15:25,Queens,Macneil Park,"Next to the fence along the waterside; cross streets: Poppenhusen Ave & College Place; 40.793161, -73.848586",Raccoon,Employee,Native,Dead on arrival,2,Adult,Small Mammals-RVS,1-1-1-695100881,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,74807
3/25/2019 15:30,3/25/2019 15:45,Queens,Forest Park,"40.703437, -73.844306",Raccoon,Employee,Native,Dead on arrival,0.75,Adult,Small Mammals-RVS,1-1-1696746680,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58159
9/30/2018 18:52,10/1/2018 11:00,Manhattan,Morningside Park,The pond at 114th St.,mallard duck,Central,Native,Healthy,0.75,Adult,Birds,1-1-1624845122,Monitored Animal,7,FALSE,FALSE,,,FALSE,FALSE,
9/11/2018 15:45,9/11/2018 15:50,Queens,Flushing Meadows Corona Park,Avenue of Commerce between Avenue of Progress and Promenade of Industry,Red-Tailed Hawk,Employee,Native,Healthy,0.5,Adult,Raptors,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
3/7/2019 10:00,3/7/2019 10:10,Manhattan,Central Park,"North Meadow; CPC equipment lot (40.7912072, -73.9601132)",Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Adult,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/15/2018 12:07,8/15/2018 12:12,Manhattan,Central Park,Loeb boathouse in a trashcan,Raccoon,Employee,Native,Healthy,1.5,Adult,Small Mammals-RVS,1-1-1604211971,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/6/2018 12:30,8/6/2018 13:00,Manhattan,Central Park,Ramble by Oak bridge,raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Small Mammals-RVS,No data,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
2/24/2019 12:00,2/24/2019 12:00,Queens,Highland Park,Vermont St and Bulwer Pl,Raccoon,Central,Native,Healthy,1.5,Adult,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
3/27/2019 16:55,3/27/2019 17:00,Staten Island,Historic Richmondtown,Near the pond side,Canada Goose,Public,Native,Injured,1.25,Adult,Birds,,Monitored Animal,2,FALSE,FALSE,,,FALSE,FALSE,
7/17/2018 18:00,7/23/2018 11:13,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring gull,Employee,Native,Injured,0.25,Adult,Birds,,Monitored Animal,,FALSE,FALSE,,,FALSE,FALSE,
5/12/2019 9:05,5/12/2019 9:11,Staten Island,Willowbrook Park,Ballfield,Canada Goose,Central,Native,No data,1,Adult,Birds,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
4/1/2019 11:30,4/1/2019 15:00,Staten Island,Willowbrook Park,Entrance from Eton Place,Canada Goose,Public,Native,No data,1,Adult,Birds,,Monitored Animal,2,FALSE,FALSE,,,FALSE,FALSE,
3/18/2019 15:30,3/18/2019 15:39,Staten Island,Willowbrook Park,Willowbrook pond,Canada Goose,Central,Native,No data,0.25,Adult,Birds,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
10/30/2018 14:30,10/31/2018 12:00,Manhattan,Bellevue South Park,Outside Park at East 25th off 2nd Avenue,Red-tailed Hawk,Other,Native,No data,1,Adult,Raptors,No data,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/24/2018 15:15,8/24/2018 15:25,Manhattan,Theodore Roosevelt Park,E85th and Columbus,Raccoon,Central,Native,No data,1,Adult,Small Mammals-RVS,No data,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
9/1/2018 9:05,9/1/2018 9:15,Manhattan,Central Park,"Conservatory Garden, French Garden",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/23/2018 9:25,8/23/2018 9:25,Manhattan,Central Park,Reservoir - South Pumphouse - in the brush by the arch,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.25,Adult,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/18/2018 16:30,8/18/2018 16:30,Manhattan,Central Park,West Drive at West 72nd. On the pedestrain path,Raccoon,Observed by Ranger,Native,Unhealthy,0.15,Adult,Small Mammals-RVS,No data,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/17/2018 13:00,8/17/2018 14:15,Manhattan,Central Park,Ramble Shed. East 79th 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,No data,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
7/31/2018 9:00,7/31/2018 9:30,Manhattan,Central Park,near bridal path of E90th and 5th ave enterance.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Adult,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
9/11/2018 8:30,9/11/2018 8:45,Manhattan,Inwood Hill Park,Dyckman Street and Staff Street,Chicken,Public,Domestic,Healthy,1.5,Adult,Domestic,1-1-1615895010,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
