LICENSE_NBR,LIC_STATUS,BUSINESS_NAME,BUSINESS_NAME2,BUILDING,STREET,CITY,STATE,ZIP,SWC_TYPE,SWC_SQ_FT,SWC_TABLES,SWC_CHAIRS,DOHMH,LATITUDE,LONGITUDE,COMMUNITY_DISTRICT,CITY_COUNCIL_DISTRICT,CD_URL,APP_ID,APP_SWC_TYPE,APP_SQ_FT,APP_TABLES,APP_CHAIRS,APP_STATUS,APP_STATUS_DATE,EXPIRATION_DATE,APP_TOO_DATE,SUBMIT_DATE,INTAKE,INTAKE_DD,DPQA,SEND_PACKAGE_DD,CP,CP_DD,CB,CB_DD,HEARING,HEARING_DD,HEARING_PUBLIC,HEARING_PUBLIC_DD,CC,CC_DD,MOO,MOO_DD,ISSUANCE,ISSUANCE_DD
1142288-DCA,Inactive,OLD HEIDELBERG CORP.,,1648,2ND AVE,NEW YORK,NY,10028,Unenclosed,228,12,24,40880188,40.77741575862903,-73.95185927073229,108,5,http://www.cb8m.com/,33312-2019-RSWC,Unenclosed,228,12,24,Pending Review,02/18/2020,03/18/2020,03/18/2020,11/22/2019,Ready For Review,11/22/2019,Issued Temp Op Letter,11/25/2019,Pending Review,11/25/2019,Pending Review,11/25/2019,Pending Review,,SWC Public Hearing,01/15/2020,Pending Review,,Pending Review,,Pending Review,
1410849-DCA,Active,LUMA REST. INC.,LUSARDI'S RESTAURANT,1494,2ND AVE,NEW YORK,NY,10075,Unenclosed,167,9,20,40376142,40.772369656786594,-73.95552022504386,108,5,http://www.cb8m.com/,25843-2019-RSWC,Unenclosed,167,9,20,Application Review Completed,12/11/2019,09/15/2021,,08/20/2019,Ready For Review,08/20/2019,Approved,08/21/2019,,,Review Period Expired,10/15/2019,Waived,10/15/2019,,,Review Period Expired,11/05/2019,Approved,12/11/2019,Issued,12/11/2019
2023401-DCA,Active,ROOT & BONE LLC,ROOT & BONE,200,E 3RD ST,NEW YORK,NY,10009,Unenclosed,274,12,24,50011679,40.72283707560951,-73.9833757743824,103,2,http://www.nyc.gov/manhattancb3,17860-2019-RSWC,Unenclosed,274,12,24,Application Review Completed,04/15/2019,04/15/2021,,04/15/2019,Ready For Review,04/15/2019,Approved,,Proceed,04/15/2019,Review Period Expired,04/15/2019,Waived,04/15/2019,,,Review Period Expired,04/15/2019,Waived,04/15/2019,Issued,04/15/2019
2028881-DCA,Active,3 EAST 48TH REST. INC.,PJ MORAN'S,3,E 48TH ST,NEW YORK,NY,10017,Small Unenclosed,75,2,6,40384222,40.75725803143689,-73.97762438621344,105,4,http://www.cb5.org,18089-2019-RSWC,Small Unenclosed,75,2,6,Application Review Completed,08/26/2019,04/15/2021,,04/18/2019,Ready For Review,04/18/2019,Approved,04/19/2019,,,Recommend Approval,04/19/2019,Waived,04/25/2019,,,Review Period Expired,05/16/2019,Approved,08/26/2019,Issued,08/26/2019
2017695-DCA,Active,HEDGIE LLC,,22,PECK SLIP,NEW YORK,NY,10038,Unenclosed,189,11,23,,40.70804125414012,-74.00193329146607,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,17425-2019-RSWC,Unenclosed,189,11,23,Application Review Completed,04/12/2019,04/15/2021,,04/10/2019,Ready For Review,04/10/2019,Approved,,Proceed,04/12/2019,Recommend Approval,04/12/2019,Recommendation Issued,04/12/2019,,,,,Approved,04/12/2019,Issued,04/12/2019
1416762-DCA,Active,NEW YORK BEER CO. LLC,JACOB'S PICKLES,509,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,207,9,18,41627819,40.7865906413659,-73.97558145523323,107,6,http://www.nyc.gov/mcb7,33732-2018-RSWC,Unenclosed,207,9,18,Application Review Completed,05/06/2019,12/15/2020,,12/27/2018,Ready For Review,12/27/2018,Approved,12/27/2018,,,Review Period Expired,02/21/2019,Waived,02/21/2019,,,Review Period Expired,03/14/2019,Approved,05/06/2019,Issued,05/06/2019
1422856-DCA,Active,"TESSA & LUCHO, INC.",BAR BRUNO,520,HENRY ST,BROOKLYN,NY,11231,Unenclosed,197,6,12,41577501,40.68343991654124,-73.99989904442076,306,39,http://www.brooklyncb6.org/,13123-2018-RSWC,Unenclosed,197,6,12,Application Review Completed,04/15/2019,09/15/2020,,09/14/2018,Issued Temp Op Letter,09/14/2018,Approved,09/17/2018,,,Review Period Expired,11/14/2018,Waived,11/14/2018,,,Review Period Expired,12/05/2018,Approved,04/15/2019,Issued,04/15/2019
2020669-DCA,Active,TOZZER LTD,NIAGRA,110,AVENUE A,NEW YORK,NY,10009,Unenclosed,234,10,20,40394007,40.7258316236478,-73.98349769427189,103,2,http://www.nyc.gov/manhattancb3,12449-2018-RSWC,Unenclosed,234,10,20,Application Review Completed,09/12/2018,09/15/2020,,09/07/2018,Ready For Review,09/07/2018,Approved,,Proceed,09/12/2018,Recommend Approval,09/12/2018,Waived,09/12/2018,,,Approved,09/12/2018,Approved,09/12/2018,Issued,09/12/2018
0883095-DCA,Active,83/AMSTERDAM RESTAURANT CORP.,HI LIFE BAR & GRILL,477,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,302,9,26,40674838,40.78552036262733,-73.97638350849627,107,6,http://www.nyc.gov/mcb7,4667-2020-RSWC,Unenclosed,302,9,26,Application Review Completed,03/11/2020,04/15/2022,,03/11/2020,Ready For Review,03/11/2020,Approved,,,,,,,,,,,,,,Issued,03/11/2020
2085255-DCA,Active,GYRO KING FOODS CORP.,,50,E FORDHAM RD,BRONX,NY,10468,Unenclosed,127,8,24,40596246,40.86211487812227,-73.90024457153447,205,14,http://www.nyc.gov/html/bxcb5/html/home/home.shtml,2491-2019-ASWC,Unenclosed,127,8,24,Application Review Completed,07/08/2019,04/15/2021,,03/11/2019,Ready For Review,03/12/2019,Approved,03/12/2019,,,,,,,,,Review Period Expired,05/22/2019,Approved,07/08/2019,Issued,07/08/2019
2037224-DCA,Active,PARK AVE CAKE LLC,L'EXPRESS,249,PARK AVE S,NEW YORK,NY,10003,Unenclosed,310,7,22,50043852,40.737996897233735,-73.98765529181223,105,2,http://www.cb5.org,27968-2018-RSWC,Unenclosed,310,7,22,Application Review Completed,03/25/2019,12/15/2020,,11/15/2018,Ready For Review,11/15/2018,Approved,11/15/2018,,,Review Period Expired,01/10/2019,Waived,01/10/2019,,,Review Period Expired,01/31/2019,Approved,03/25/2019,Issued,03/25/2019
1421014-DCA,Active,"135 WEST B FOOD & DRINK, LLC",TINY'S AND THE BAR UPSTAIRS,135,W BROADWAY,NEW YORK,NY,10013,Unenclosed,112,5,10,41582631,40.71670070807451,-74.00811655028954,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,30704-2018-RSWC,Unenclosed,112,5,10,Application Review Completed,05/23/2019,12/15/2020,,12/05/2018,Ready For Review,12/05/2018,Approved,12/13/2018,,,Review Period Expired,01/24/2019,Waived,01/24/2019,,,Review Period Expired,02/14/2019,Approved,05/23/2019,Issued,05/23/2019
2038956-DCA,Active,NJJMJ INC,DENINO'S PIZZERIA AND TAVERN,93,MACDOUGAL ST,NEW YORK,NY,10012,Unenclosed,98,5,10,50051328,40.72940647310473,-74.00115457391584,102,1,http://www.nyc.gov/manhattancb2,17873-2018-RSWC,Unenclosed,98,5,10,Application Review Completed,04/11/2019,09/15/2020,,10/03/2018,Ready For Review,10/03/2018,Approved,10/15/2018,,,Recommend Approval,11/29/2018,Recommendation Issued,11/29/2018,SWC Public Hearing,11/28/2018,Review Period Expired,12/20/2018,Approved,04/11/2019,Issued,04/11/2019
2006621-DCA,Inactive,ONE STOP BEER SHOP LLC,ONE STOP BEER SHOP LLC,134,KINGSLAND AVE,BROOKLYN,NY,11222,Unenclosed,238,11,22,41631052,40.721069121610455,-73.94073447201654,301,34,http://www.nyc.gov/brooklyncb1,5886-2020-RSWC,Unenclosed,238,11,22,Pending Review,06/04/2020,04/15/2020,,06/03/2020,Ready For Review,06/04/2020,Under Review,,Pending Review,,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
2060036-DCA,Active,La Luna Deli &Cafe Inc.,,4401,30TH AVE,ASTORIA,NY,11103,Unenclosed,130,4,14,50001785,40.762457761329806,-73.91158793300104,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,26615-2019-RSWC,Unenclosed,130,4,14,Application Review Completed,02/12/2020,09/15/2021,,09/13/2019,Ready For Review,09/13/2019,Approved,09/13/2019,,,Recommend Approval,10/21/2019,Waived,11/07/2019,,,Review Period Expired,11/28/2019,Approved,02/12/2020,Issued,02/12/2020
1192051-DCA,Active,EAST PUB INC,PHEBE'S,359,BOWERY,NEW YORK,NY,10003,Enclosed,808,24,96,41054554,40.726828835423774,-73.99144926767471,103,2,http://www.nyc.gov/manhattancb3,18638-2017-RSWC,Enclosed,808,24,96,Pending Review,06/09/2020,08/31/2020,08/31/2020,05/22/2017,Ready For Review,05/22/2017,Issued Temp Op Letter,05/22/2017,Proceed,07/13/2017,Review Period Expired,07/13/2017,Waived,07/13/2017,,,Review Period Expired,08/03/2017,Pending Review,,Pending Review,
2018723-DCA,Active,MORNINGSIDE TERRACE CORP,K. RICO,772,9TH AVE,NEW YORK,NY,10019,Unenclosed,105,6,12,50013879,40.76432455808963,-73.98808721418683,104,3,http://www.nyc.gov/mcb4,25708-2019-RSWC,Unenclosed,105,6,12,Application Review Completed,08/13/2019,09/15/2021,,08/13/2019,Ready For Review,08/13/2019,Approved,,Proceed,08/13/2019,Review Period Expired,08/13/2019,Waived,08/13/2019,,,Approved,08/13/2019,Approved,08/13/2019,Issued,08/13/2019
1282774-DCA,Active,201 REST. 95TH ST. CORP.,,201,W 95TH ST,NEW YORK,NY,10025,Unenclosed,146,8,16,41283156,40.79359963971459,-73.97106448102566,107,6,http://www.nyc.gov/mcb7,6498-2019-RSWC,Unenclosed,146,8,16,Application Review Completed,06/11/2019,12/15/2020,,02/06/2019,Ready For Review,02/06/2019,Approved,02/06/2019,,,Review Period Expired,03/27/2019,Waived,03/27/2019,,,Review Period Expired,04/17/2019,,,Issued,06/11/2019
0935481-DCA,Active,"MICHAEL KING, INC.",,1361,1ST AVE,NEW YORK,NY,10021,Unenclosed,180,6,12,40366993,40.76869721541992,-73.95557322021328,108,5,http://www.cb8m.com/,14564-2019-RSWC,Unenclosed,180,6,12,Application Review Completed,08/09/2019,04/15/2021,,03/19/2019,Ready For Review,03/19/2019,Approved,03/20/2019,,,Recommend Approval,04/23/2019,Waived,04/30/2019,,,Review Period Expired,05/21/2019,Approved,08/09/2019,Issued,08/09/2019
1448450-DCA,Active,"CAKOR RESTAURANT, INC.",,632,E 186TH ST,BRONX,NY,10458,Unenclosed,131,11,30,41605870,40.85408818275518,-73.88704809569035,206,15,http://www.bronxmall.com/commboards/cd6.html,31701-2018-RSWC,Unenclosed,131,11,30,Application Review Completed,02/06/2019,12/15/2020,,12/12/2018,Ready For Review,12/12/2018,Approved,,,,,,,,,,,,,,Issued,02/06/2019
2087678-DCA,Active,BOCADITOS BISTRO & EXPRESSO BAR LLC,,4863,BROADWAY,NEW YORK,NY,10034,Unenclosed,273,12,24,50055231,40.867128196398134,-73.9238102259838,112,10,http://www.nyc.gov/html/mancb12/html/home/home.shtml,4575-2019-ASWC,Unenclosed,273,12,24,Application Review Completed,10/24/2019,12/15/2021,,04/19/2019,Ready For Review,04/19/2019,Approved,04/24/2019,,,Recommend Approval,06/26/2019,Recommendation Issued,06/26/2019,SWC Public Hearing,06/12/2019,Review Period Expired,07/18/2019,Approved,10/24/2019,Issued,10/24/2019
2080663-DCA,Active,CHARLEY ST. INC,CHARLEY ST.,41,KENMARE ST,NEW YORK,NY,10012,Unenclosed,95,4,8,,40.72096625922117,-73.9954147574814,102,1,http://www.nyc.gov/manhattancb2,15024-2018-ASWC,Unenclosed,95,4,8,Application Review Completed,05/17/2019,09/15/2020,,09/07/2018,Ready For Review,10/11/2018,Approved,10/11/2018,,,Recommend Approval,12/13/2018,Recommendation Issued,12/13/2018,SWC Public Hearing,11/28/2018,Review Period Expired,01/03/2019,Approved,05/17/2019,Issued,05/17/2019
2006623-DCA,Active,PASTA SHOP LLC,BAR PRIMI,325,BOWERY,NEW YORK,NY,10003,Unenclosed,398,18,36,50007157,40.725634896283026,-73.99186432238784,103,2,http://www.nyc.gov/manhattancb3,12709-2018-RSWC,Unenclosed,398,18,36,Application Review Completed,09/28/2018,09/15/2020,,09/13/2018,Ready For Review,09/11/2018,Approved,,Proceed,09/28/2018,Review Period Expired,09/28/2018,Waived,09/28/2018,,,Approved,09/28/2018,Approved,09/28/2018,Issued,09/28/2018
1198574-DCA,Active,VANETT INC.,JIMMY RYAN'S,3005,MIDDLETOWN RD,BRONX,NY,10461,Unenclosed,133,7,14,40524837,40.84415131578237,-73.83021970190435,210,13,http://www.nyc.gov/html/bxcb10/html/home/home.shtml,2953-2020-RSWC,Unenclosed,133,7,14,Pending Review,06/03/2020,07/31/2020,07/31/2020,02/10/2020,Ready For Review,02/11/2020,Issued Temp Op Letter,02/11/2020,Pending Review,02/11/2020,Review Period Expired,04/08/2020,Waived,04/08/2020,,,Review Period Expired,04/29/2020,Pending Review,,Pending Review,
2074064-DCA,Active,TRIBECA BAKERY LLC,GRECA,452,WASHINGTON ST,NEW YORK,NY,10013,Unenclosed,360,12,24,50072404,40.72388903741903,-74.01052018379303,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,7360-2018-ASWC,Unenclosed,360,12,24,Application Review Completed,10/05/2018,12/15/2020,,04/12/2018,Ready For Review,04/12/2018,Approved,04/16/2018,Pending Review,04/16/2018,Review Period Expired,06/06/2018,Recommendation Issued,06/21/2018,SWC Public Hearing,06/06/2018,Review Period Expired,07/12/2018,Pending Review,07/12/2018,Issued,10/05/2018
2071749-DCA,Active,FRIJOLITO'S RESTAURANT CORP,FRIJOLITOS,3446,BROADWAY,NEW YORK,NY,10031,Unenclosed,135,7,14,,40.82328860792783,-73.9524005724808,109,7,http://www.cb9m.org,6086-2018-ASWC,Unenclosed,135,7,14,Application Review Completed,08/09/2018,09/15/2020,,03/29/2018,Ready For Review,03/29/2018,Approved,03/29/2018,Pending Review,03/29/2018,Review Period Expired,05/21/2018,Recommendation Issued,05/24/2018,SWC Public Hearing,05/16/2018,Review Period Expired,06/14/2018,Pending Review,06/14/2018,Issued,08/09/2018
1422807-DCA,Active,TS3 HOSPITALITY LLC,THE SMITH,1900,BROADWAY,NEW YORK,NY,10023,Unenclosed,604,21,54,41649130,40.77152043591371,-73.9817353649362,107,6,http://www.nyc.gov/mcb7,4641-2020-RSWC,Unenclosed,604,21,54,Pending Review,05/28/2020,08/28/2020,08/28/2020,03/10/2020,Ready For Review,03/10/2020,Issued Temp Op Letter,03/10/2020,Pending Review,03/10/2020,Pending Review,03/10/2020,Pending Review,,SWC Public Hearing,04/29/2020,Pending Review,,Pending Review,,Pending Review,
2080299-DCA,Active,380 EAST VENTURES LLC,FACTORY 380,380,3RD AVE,NEW YORK,NY,10016,Unenclosed,142,9,18,,40.741712437887344,-73.98132131739861,106,2,http://cbsix.org,14169-2018-ASWC,Unenclosed,142,9,18,Application Review Completed,04/30/2019,09/15/2021,,08/17/2018,Ready For Review,08/17/2018,Approved,08/20/2018,,,Review Period Expired,11/29/2018,Recommendation Issued,11/29/2018,SWC Public Hearing,10/10/2018,Review Period Expired,12/20/2018,Approved,04/30/2019,Issued,04/30/2019
1334107-DCA,Active,TREL RESTAURANT INC.,ROSIE O'GRADY'S,800,7TH AVE,NEW YORK,NY,10019,Small Unenclosed,382,7,28,40374711,40.762613855474434,-73.98240201835488,105,4,http://www.cb5.org,17265-2019-RSWC,Small Unenclosed,382,7,28,Application Review Completed,08/29/2019,04/15/2021,,04/09/2019,Ready For Review,04/09/2019,Approved,04/11/2019,,,Review Period Expired,06/11/2019,Waived,06/11/2019,,,Review Period Expired,07/02/2019,Approved,08/29/2019,Issued,08/29/2019
2077939-DCA,Inactive,"CHELLA LUNA, INC",SUGAR FREAK,3711/13,30TH AVE,ASTORIA,NY,11103,Unenclosed,390,10,30,50082869,40.764566575223824,-73.91640441681194,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,26057-2019-RSWC,Unenclosed,336,10,30,Pending Review,12/17/2019,03/25/2020,03/25/2020,08/28/2019,Ready For Review,08/28/2019,Issued Temp Op Letter,08/28/2019,Pending Review,08/28/2019,Recommend Approval,09/25/2019,Waived,09/25/2019,,,Review Period Expired,03/11/2020,Pending Review,,Pending Review,
2054417-DCA,Active,CATERED BY PERGOLA LLC,GARDENIA TERRACE,826,10TH AVE,NEW YORK,NY,10019,Regular Unenclosed/Small Unenclosed,95,6,14,50055882,40.76756897595099,-73.98945847602126,104,3,http://www.nyc.gov/mcb4,17337-2019-RSWC,Regular Unenclosed/Small Unenclosed,95,6,14,Application Review Completed,09/18/2019,04/15/2021,09/30/2019,04/09/2019,Ready For Review,04/09/2019,Approved,04/09/2019,,,Review Period Expired,05/30/2019,Waived,05/30/2019,,,Review Period Expired,06/20/2019,Approved,09/18/2019,Issued,09/18/2019
0949696-DCA,Active,"THREE DECKER RESTAURANT, LTD.",THREE DECKER RESTAURANT,1746,2ND AVE,NEW YORK,NY,10128,Enclosed,414,14,28,40401821,40.7808456021953,-73.94934726322934,108,5,http://www.cb8m.com/,6574-2020-RSWC,Enclosed,414,14,28,Pending Review,06/19/2020,07/18/2020,07/18/2020,06/18/2020,Ready For Review,06/19/2020,Issued Temp Op Letter,,Pending Review,06/19/2020,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
1451850-DCA,Active,VEM GROUP CORP.,CRAVE,2855,36TH ST,ASTORIA,NY,11103,Unenclosed,278,16,32,41452652,40.76516790084741,-73.91671773052818,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,959-2019-RSWC,Unenclosed,278,16,32,Application Review Completed,08/29/2019,12/15/2020,,01/08/2019,Ready For Review,01/08/2019,Approved,01/08/2019,,,Recommend Approval,02/13/2019,Waived,02/21/2019,,,Review Period Expired,03/14/2019,Approved,08/29/2019,Issued,08/29/2019
2072105-DCA,Inactive,LA GOULUE 61 LLC,,29,E 61ST ST,NEW YORK,NY,10065,Small Unenclosed,97,3,14,50069570,40.76482356931171,-73.97005175357899,108,4,http://www.cb8m.com/,5709-2018-ASWC,Small Unenclosed,97,3,14,Application Review Completed,10/01/2018,04/15/2020,,03/23/2018,Ready For Review,04/10/2018,Approved,04/10/2018,Pending Review,04/10/2018,Review Period Expired,05/31/2018,Recommendation Issued,07/18/2018,SWC Public Hearing,05/30/2018,Review Period Expired,08/08/2018,Pending Review,08/08/2018,Issued,10/01/2018
2055684-DCA,Inactive,HUDSON JANE INC,,360,MYRTLE AVE,BROOKLYN,NY,11205,Unenclosed,224,6,12,50064443,40.69298558306189,-73.97206736116584,302,35,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,6735-2017-ASWC,Unenclosed,224,6,12,Application Review Completed,08/14/2017,12/15/2019,,05/10/2017,Ready For Review,05/11/2017,Approved,05/11/2017,,,Recommend Approval,06/19/2017,Recommendation Issued,07/05/2017,SWC Public Hearing,06/28/2017,Review Period Expired,08/03/2017,Approved,08/14/2017,Issued,08/14/2017
2012539-DCA,Active,MANGOLICIOUS QUEENS BLVD LTD,RED MANGO YOGURT & SMOOTHIES,10740,QUEENS BLVD,FOREST HILLS,NY,11375,Unenclosed,217,6,12,41706992,40.72130656376175,-73.84492341133262,406,29,http://queenscb6.org/,26154-2018-RSWC,Unenclosed,217,6,12,Application Review Completed,11/05/2018,09/15/2020,,11/02/2018,Ready For Review,11/02/2018,Approved,,Proceed,11/05/2018,Review Period Expired,11/05/2018,Waived,11/05/2018,,,Approved,11/05/2018,Approved,11/05/2018,Issued,11/05/2018
2037214-DCA,Active,BIBLIO INC,,149,N 6TH ST,BROOKLYN,NY,11249,Unenclosed,116,2,8,41722445,40.717440110199995,-73.95855823667199,301,33,http://www.nyc.gov/brooklyncb1,8030-2019-RSWC,Unenclosed,116,2,8,Application Review Completed,07/23/2019,12/15/2020,,02/12/2019,Ready For Review,02/12/2019,Approved,02/12/2019,,,Review Period Expired,04/02/2019,Waived,04/02/2019,,,Review Period Expired,04/23/2019,Approved,07/23/2019,Issued,07/23/2019
2072102-DCA,Active,JOE & THE JUICE NEW YORK LLC,JOE & THE JUICE,247,COLUMBUS AVE,NEW YORK,NY,10023,Unenclosed,78,1,3,50068537,40.77683653074509,-73.9790187254911,107,6,http://www.nyc.gov/mcb7,6375-2018-ASWC,Unenclosed,78,1,3,Application Review Completed,11/01/2018,12/15/2020,,04/02/2018,Ready For Review,04/02/2018,Approved,04/03/2018,,,Review Period Expired,05/24/2018,Recommendation Issued,05/31/2018,SWC Public Hearing,05/23/2018,Review Period Expired,06/21/2018,Approved,11/01/2018,Issued,11/01/2018
1224578-DCA,Active,NOOR EL HADA CORP.,,2425,STEINWAY ST,ASTORIA,NY,11103,Unenclosed,228,11,25,41172527,40.76827899123652,-73.91110727531365,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,6380-2019-RSWC,Unenclosed,228,11,25,Application Review Completed,07/01/2019,12/15/2020,,02/06/2019,Ready For Review,02/06/2019,Approved,02/06/2019,,,Review Period Expired,03/27/2019,Waived,03/27/2019,,,Review Period Expired,04/17/2019,Approved,07/01/2019,Issued,07/01/2019
2038815-DCA,Inactive,SOHO 75 LLC,THE MILL,75,VARICK ST,NEW YORK,NY,10013,Unenclosed,195,7,24,50018286,40.7234391929956,-74.006522758533,102,1,http://www.nyc.gov/manhattancb2,3947-2020-RSWC,Unenclosed,195,7,24,Pending Review,02/26/2020,04/15/2020,,02/26/2020,Ready For Review,02/26/2020,Under Review,,Pending Review,,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
2039791-DCA,Inactive,CIEN FUEGOS LLC,CIEN FUEGOS,95,AVENUE A,NEW YORK,NY,10009,Unenclosed,162,10,20,41467140,40.725656031990205,-73.98401365894415,103,2,http://www.nyc.gov/manhattancb3,4735-2020-RSWC,Unenclosed,162,10,20,Application Review Completed,04/19/2020,04/15/2020,,03/11/2020,Ready For Review,03/19/2020,Denied - Refund Request,,,,,,,,,,,,,,,
2068207-DCA,Inactive,BRINGTON ROAD LLC,CALEDONIA,424,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,68,3,6,50055004,40.784170235195305,-73.97779950376231,107,6,http://www.nyc.gov/mcb7,19629-2017-ASWC,Unenclosed,68,3,6,Application Review Completed,08/02/2018,04/15/2020,,12/14/2017,Ready For Review,12/14/2017,Approved,12/14/2017,Pending Review,12/14/2017,Review Period Expired,02/03/2018,Recommendation Issued,03/22/2018,SWC Public Hearing,01/31/2018,Review Period Expired,04/13/2018,Approved,08/02/2018,Issued,08/02/2018
2086720-DCA,Active,SIRICHAI INC,,1611,2ND AVE,NEW YORK,NY,10028,Unenclosed,211,5,16,50072997,40.77640070219793,-73.95306233111398,108,5,http://www.cb8m.com/,4147-2019-ASWC,Unenclosed,211,5,16,Application Review Completed,08/12/2019,12/15/2021,,04/11/2019,Ready For Review,04/11/2019,Approved,04/15/2019,,,Review Period Expired,06/06/2019,Recommendation Issued,06/06/2019,SWC Public Hearing,06/05/2019,Review Period Expired,06/27/2019,Approved,08/12/2019,Issued,08/12/2019
2042353-DCA,Active,"BENVA BAKERY, LLC",,440,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,214,11,25,50046988,40.78469166302498,-73.9774310038781,107,6,http://www.nyc.gov/mcb7,12783-2018-RSWC,Unenclosed,214,11,25,Application Review Completed,07/01/2019,09/15/2020,,09/12/2018,Ready For Review,09/12/2018,Approved,09/12/2018,,,Review Period Expired,11/01/2018,Waived,11/01/2018,,,Review Period Expired,11/22/2018,Approved,07/01/2019,Issued,07/01/2019
1459346-DCA,Active,"NARICHE, LLC",VINATERIA,2211,FREDERICK DOUGLASS BLVD,NEW YORK,NY,10026,Unenclosed,467,20,44,41718421,40.806796203852855,-73.95393311947485,110,9,http://www.nyc.gov/html/mancb10/html/home/home.shtml,26578-2019-RSWC,Unenclosed,467,20,44,Pending Review,06/11/2020,09/11/2020,09/11/2020,09/13/2019,Ready For Review,09/13/2019,Issued Temp Op Letter,09/18/2019,Pending Review,09/13/2019,Review Period Expired,04/17/2020,Waived,04/17/2020,,,Review Period Expired,05/08/2020,Pending Review,,Pending Review,
1426466-DCA,Active,"BRATS UND BIER, INC.",MAX,4702,30TH AVE,ASTORIA,NY,11103,Unenclosed,324,14,28,41647039,40.761017771777446,-73.90934457510515,401,22,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,14948-2018-RSWC,Unenclosed,324,14,28,Application Review Completed,05/24/2019,09/15/2020,,09/24/2018,Ready For Review,09/24/2018,Approved,09/27/2018,,,Recommend Approval,11/02/2018,Waived,11/14/2018,,,Review Period Expired,12/05/2018,Approved,05/24/2019,Issued,05/24/2019
1139335-DCA,Active,THE 8801 CORP.,CEBU,8801,3RD AVE,BROOKLYN,NY,11209,Unenclosed,575,19,39,40859014,40.6218783653301,-74.0315411345767,310,43,http://www.bkcb10.org/,5963-2020-RSWC,Unenclosed,575,19,39,Pending Review,06/09/2020,07/09/2020,07/09/2020,06/08/2020,Ready For Review,06/09/2020,Issued Temp Op Letter,,Pending Review,06/09/2020,Pending Review,,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
1352656-DCA,Inactive,THE MEATBALL SHOP LLC,,84,STANTON ST,NEW YORK,NY,10002,Unenclosed,89,3,12,41465002,40.721679438634915,-73.98875503233317,103,1,http://www.nyc.gov/manhattancb3,19147-2018-RSWC,Unenclosed,89,3,12,Application Withdrawn,02/19/2020,01/31/2020,01/31/2020,10/10/2018,Ready For Review,10/11/2018,Withdrawal - Refund Request,10/11/2018,,,Review Period Expired,11/29/2018,Waived,11/29/2018,,,Review Period Expired,12/20/2018,,,,
2064752-DCA,Active,"MALABAR KITCHEN, LLC",ALTA CALIDAD,552,VANDERBILT AVE,BROOKLYN,NY,11238,Unenclosed,182,9,17,5/01/201750060021,40.680136292813316,-73.96815369730402,308,35,http://www.brooklyncb8.org/,14181-2017-ASWC,Unenclosed,182,9,17,Application Review Completed,04/26/2018,12/15/2020,,10/11/2017,Ready For Review,10/11/2017,Approved,10/12/2017,,,Review Period Expired,12/02/2017,Recommendation Issued,01/11/2018,SWC Public Hearing,11/29/2017,Review Period Expired,02/01/2018,,,Issued,04/26/2018
1413323-DCA,Active,AMSTERDAM ALE HOUSE INC,,340,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,330,11,32,41391353,40.78141489824386,-73.97984778103528,107,6,http://www.nyc.gov/mcb7,25999-2019-RSWC,Unenclosed,330,11,32,Application Review Completed,12/24/2019,09/15/2021,,08/26/2019,Ready For Review,08/26/2019,Approved,08/27/2019,,,Recommend Approval,10/15/2019,Waived,10/15/2019,,,Review Period Expired,11/05/2019,Approved,12/24/2019,Issued,12/24/2019
2094522-DCA,Active,THE YORK RESTAURANT BAR INC.,,200,E 60TH ST,NEW YORK,NY,10022,Enclosed,309,17,34,50000549,40.762030981612824,-73.96579704204677,108,4,http://www.cb8m.com/,1391-2020-ASWC,Enclosed,309,17,34,Pending Review,06/11/2020,07/10/2020,07/10/2020,02/13/2020,Ready For Review,02/13/2020,Issued Temp Op Letter,02/13/2020,Pending Review,02/13/2020,Pending Review,02/13/2020,Pending Review,,,,Pending Review,,Pending Review,,Pending Review,
