fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology
FILRX,Franklin International Growth Fund Class R6,Foreign Large Growth,Franklin Templeton Investments,1230000000,14.95,0.38,4,4/30/2013,Growth,Medium,USD,0.69,1.13,4.49,95.51,0,0,0,0,24.34,3.56,2.09,15.01,"9,763.58",5.73,18.28,8.34,0,5.18,19.93,0,0,3.21,18.46,20.87
FILSX,Fidelity Flex Freedom 2015 Fund,Target-Date 2015,Fidelity Investments,109620,7.34,2.34,0,6/7/2017,Blend,Large,USD,0,0.43,14.94,41.84,42.67,0.03,0.41,0.08,14.38,1.83,1.31,7.06,"34,267.85",4.22,12.39,21.42,2.44,6.51,12.39,2.08,2.41,6.81,10.18,19.16
FIMBX,First Investors Opportunity Fund Class B,Mid-Cap Blend,First Investors,1110000000,14.96,1.15,3,1/11/1995,Blend,Medium,USD,1.97,1.06,2.78,97.22,0,0,0,0,13.18,2.13,1.28,8.71,"8,722.27",3.53,11.71,16.68,5.33,6.84,13.13,5.05,0.08,4.7,17.63,15.33
FIMFX,Franklin Mutual International Fund Class R6,Foreign Large Value,Franklin Templeton Investments,142990000,7.96,2.01,3,4/30/2013,Value,Large,USD,0.83,1.11,4.03,95.62,0.35,0,0,0,10.7,0.88,0.75,3.75,"15,017.73",3.93,14.17,38.67,1.02,3.57,7.34,3.51,3.52,11,1.06,12.22
FIMIX,Fidelity Minnesota Municipal Income Fund,Muni Minnesota,Fidelity Investments,541180000,2.88,2.43,3,11/20/1985,Blend,Medium,USD,0.5,0.9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIMKX,Fidelity Advisor Emerging Markets Fund I Class,Diversified Emerging Mkts,Fidelity Investments,812650000,15.4,0.51,4,3/28/2004,Growth,Large,USD,1.12,1.36,1.96,98.04,0,0,0,0,18.13,3.24,3.09,7.68,"56,302.75",7.35,12.04,23.4,1.97,11.75,2.67,0.89,0,6.66,4.57,28.72
FIMPX,Nuveen Small Cap Growth Opportunities Fund Class I,Small Growth,Nuveen,102960000,16.53,0,3,7/31/1995,Growth,Small,USD,1,1.2,2.22,97.52,0,0.26,0,0,20.76,3.1,2.16,12.4,"2,819.37",6.8,17.53,7.1,0,3.01,20.78,0,0,1.91,16.27,26.61
FIMSX,Fidelity Municipal Income 2025 Fund,Muni National Interm,Fidelity Investments,19210000,3.07,2.04,0,5/24/2017,Blend,Medium,USD,0.4,0.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIMTX,Federated Intermediate Municipal Trust Service Shares,Muni National Interm,Federated,70490000,2.87,2.13,3,12/25/1985,Blend,Medium,USD,0.72,0.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIMUX,Frost Municipal Bond Fund Class Institutional,Muni National Interm,Frost Funds,160690000,2.12,2.35,2,4/24/2008,Value,Medium,USD,0.53,0.75,12.1,0,87.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIMWX,American Funds Retirement Income Portfolio - Moderate Class F-3,Allocation - 50% to 70% Equity,American Funds,852980000,6.64,2.89,2,1/26/2017,Value,Large,USD,0.34,0.82,6.92,49.12,43.5,0.08,0.23,0.08,15.2,2.25,1.83,8.6,"79,091.58",4.97,8.04,13.21,5.86,10.6,14.5,6.38,5.58,10.05,7.65,13.16
FIMYX,Federated Intermediate Municipal Trust Institutional Shares,Muni National Interm,Federated,70490000,2.94,2.37,3,10/1/2003,Blend,Medium,USD,0.47,0.75,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINAX,Franklin International Small Cap Fund Class A,Foreign Small/Mid Blend,Franklin Templeton Investments,898500000,12.13,1.53,3,5/14/2008,Value,Small,USD,1.38,1.31,1.91,98.09,0,0,0,0,13.52,0.96,0.76,5.63,"2,308.10",2.51,13.05,15.83,11.43,11.95,2.15,0,5.86,6.51,23.96,6.77
FINDX,Franklin India Growth Fund Class C,India Equity,Franklin Templeton Investments,103490000,4.24,0,3,1/30/2008,Blend,Large,USD,2.4,1.72,0.9,5.53,0,93.57,0,0,16.32,1.88,2.96,12.08,"17,479.77",0,32.23,0,0,0,0,0,0,0,0,67.77
FINEX,Templeton Global Investment Trust - Templeton Foreign Smaller Companies Fund,Foreign Small/Mid Value,Franklin Templeton Investments,99680000,0.92,1.82,3,9/19/1991,Blend,Medium,USD,1.71,1.18,4.44,95.56,0,0,0,0,15.1,1.87,1.22,10.29,"1,984.93",6.33,25.69,13.45,2.96,9.17,6.32,0.02,0.01,3.36,21.43,11.24
FINFX,American Funds Fundamental Investors Class F-2,Large Blend,American Funds,98640000000,12.02,1.76,4,7/31/2008,Growth,Large,USD,0.4,0.94,5.72,94.28,0,0,0,0,16.83,2.31,1.96,7.57,"98,227.39",5.81,9.42,12.94,1.85,7.46,12.42,0.53,3.65,8.76,10.39,26.77
FINGX,Franklin India Growth Fund Class A,India Equity,Franklin Templeton Investments,103490000,4.37,0,3,1/30/2008,Blend,Large,USD,1.65,1.72,0.9,5.53,0,93.57,0,0,16.32,1.88,2.96,12.08,"17,479.77",0,32.23,0,0,0,0,0,0,0,0,67.77
FINIX,Nuveen Core Bond Fund I,Intermediate-Term Bond,Nuveen,125430000,3.55,2.86,3,1/4/1993,Blend,Medium,USD,0.53,0.76,0.17,0,99.58,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINJX,First Investors Tax Exempt New Jersey Fund Class A,Muni New Jersey,First Investors,48170000,2.54,3.18,2,9/12/1988,Blend,Large,USD,0.89,0.89,3.05,0,96.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINKX,First Investors Tax Exempt New Jersey Fund Class B,Muni New Jersey,First Investors,48170000,2.38,2.44,1,1/11/1995,Blend,Large,USD,1.7,0.89,3.05,0,96.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINLX,First Investors Tax Exempt New Jersey Fund Advisor Class,Muni New Jersey,First Investors,48170000,2.6,3.44,3,4/30/2013,Blend,Large,USD,0.66,0.89,3.05,0,96.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINMX,Salient International Real Estate Adv,Global Real Estate,Salient Funds,21470000,2.17,5.39,1,5/1/2011,Blend,Medium,USD,1.57,1.28,1.51,98.49,0,0,0,0,13.11,0.76,3.91,8.14,"3,654.87",0,1.36,0,95.53,0,0,0,0,0,0,3.11
FINNX,First Investors Tax Exempt New Jersey Fund Institutional Class,Muni New Jersey,First Investors,48170000,2.64,3.46,3,4/30/2013,Blend,Large,USD,0.65,0.89,3.05,0,96.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FINSX,Fidelity Advisor New Insights Fund Class I,Large Growth,Fidelity Investments,26470000000,15.31,0.21,3,7/30/2003,Growth,Large,USD,0.79,1.06,2.15,95.83,0,0.51,1.51,0,21.2,3.07,2.26,11.51,"84,834.63",2.52,15.17,18.44,0.41,6.69,12.92,2.61,2.48,5.28,7.05,26.42
FINVX,Fidelity Series International Value Fund,Foreign Large Value,Fidelity Investments,14050000000,8.14,3.74,3,12/2/2009,Value,Large,USD,0.01,1.11,0.49,99.51,0,0,0,0,11.36,1.1,0.98,5.06,"35,621.38",9.33,7.75,37.58,2.4,4.42,7.81,1.69,1.05,10.84,8.06,9.07
FIOAX,Fidelity Advisor Managed Retirement 2005 Fund Class A,Target-Date 2000-2010,Fidelity Investments,5540000,4.48,1.7,3,8/29/2007,Blend,Large,USD,0.73,0.47,18.63,17.99,62.91,0.04,0.22,0.19,14.12,1.76,1.31,6.93,"32,312.25",4.86,12.19,22.41,2.66,6.48,11.08,1.99,2.17,6.78,10.25,19.11
FIOBX,First Investors International Opportunities Bond Fund Class A,World Bond,First Investors,158030000,1.9,1.83,2,8/19/2012,Value,Medium,USD,1.35,0.91,2.42,0,97.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIOCX,Fidelity Advisor Managed Retirement 2005 Fund Class C,Target-Date 2000-2010,Fidelity Investments,5540000,4.28,0.94,2,8/29/2007,Blend,Large,USD,1.48,0.47,18.63,17.99,62.91,0.04,0.22,0.19,14.12,1.76,1.31,6.93,"32,312.25",4.86,12.19,22.41,2.66,6.48,11.08,1.99,2.17,6.78,10.25,19.11
FIODX,First Investors International Opportunities Bond Fund Advisor Class,World Bond,First Investors,158030000,2.11,1.83,2,4/2/2013,Value,Medium,USD,1.08,0.91,2.42,0,97.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIOEX,First Investors International Opportunities Bond Fund Institutional Class,World Bond,First Investors,158030000,2.09,1.42,2,4/2/2013,Value,Medium,USD,0.93,0.91,2.42,0,97.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIOFX,Fidelity Freedom Index 2045 Fund Investor Class,Target-Date 2045,Fidelity Investments,2680000000,11.93,1.95,4,10/1/2009,Blend,Large,USD,0.14,0.45,1.66,88.31,10.01,0.01,0,0.01,15.48,2.13,1.52,7.52,"49,883.10",4.33,11.75,17.64,3.68,7.67,12.49,3.21,3.5,5.72,10.97,19.04
FIOIX,Fidelity Advisor Managed Retirement 2005 Fund Class I,Target-Date 2000-2010,Fidelity Investments,5540000,4.54,1.95,4,8/29/2007,Blend,Large,USD,0.48,0.47,18.63,17.99,62.91,0.04,0.22,0.19,14.12,1.76,1.31,6.93,"32,312.25",4.86,12.19,22.41,2.66,6.48,11.08,1.99,2.17,6.78,10.25,19.11
FIONX,Fidelity SAI International Index Fund,Foreign Large Blend,Fidelity Investments,7090000000,10.08,2.73,3,1/4/2016,Blend,Large,USD,0.05,1.01,0.09,99.9,0,0.01,0,0,13.53,1.42,1.08,6.76,"35,367.27",7.77,11.51,18.86,3.88,11.93,11.31,3.78,3.98,5.95,13.24,7.79
FIOOX,Fidelity Series Large Cap Value Index Fund,Large Value,Fidelity Investments,3850000000,12.02,2.55,3,11/6/2013,Value,Large,USD,0,1,0.62,99.38,0,0,0,0,14.33,1.88,1.52,6.29,"61,677.11",3.68,6.7,21.32,5.27,8.42,15.17,6.34,5.51,9.74,8.11,9.73
FIORX,First Eagle Overseas Fund Class R4,Foreign Large Blend,First Eagle,13760000000,7.83,1.32,4,1/17/2018,Blend,Large,USD,1.03,1.01,11.8,77.21,1.83,9.16,0,0,14.39,1.1,1.13,8.04,"16,618.42",15.78,10.54,14.69,4.97,15.8,5.71,0,5.62,4.57,15.73,6.59
FIOTX,Fidelity Advisor Managed Retirement 2005 Fund Class M,Target-Date 2000-2010,Fidelity Investments,5540000,4.4,1.46,3,8/29/2007,Blend,Large,USD,0.98,0.47,18.63,17.99,62.91,0.04,0.22,0.19,14.12,1.76,1.31,6.93,"32,312.25",4.86,12.19,22.41,2.66,6.48,11.08,1.99,2.17,6.78,10.25,19.11
FIPBX,Fidelity Inflation-Prot Bd Idx Instl,Inflation-Protected Bond,Fidelity Investments,5220000000,-2.3,0.28,4,5/15/2012,Blend,Large,USD,0.06,0.81,0.03,0,99.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIPDX,Fidelity Inflation-Protected Bond Index Fund,Inflation-Protected Bond,Fidelity Investments,5760000000,3.27,0.35,4,5/15/2012,Blend,Large,USD,0.05,0.81,0.05,0,99.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIPFX,Fidelity Freedom Index 2050 Fund Investor Class,Target-Date 2050,Fidelity Investments,2420000000,11.94,1.96,4,10/1/2009,Blend,Large,USD,0.14,0.45,1.66,88.31,10.01,0.01,0,0.01,15.48,2.13,1.52,7.52,"49,883.17",4.33,11.75,17.64,3.68,7.67,12.49,3.21,3.5,5.72,10.97,19.04
FIRAX,Fidelity Advisor International Real Estate Fund Class A,Global Real Estate,Fidelity Investments,567670000,12.64,1.38,3,4/3/2007,Growth,Medium,USD,1.36,1.28,4.34,95.26,0,0.4,0,0,17.4,0.9,4.08,7.13,"3,723",0,2.62,2.35,91.52,0,0,0,0,0,2.99,0.51
FIRCX,Fidelity Advisor International Real Estate Fund Class C,Global Real Estate,Fidelity Investments,567670000,12.48,1.01,3,4/3/2007,Growth,Medium,USD,2.05,1.28,4.34,95.26,0,0.4,0,0,17.4,0.9,4.08,7.13,"3,723",0,2.62,2.35,91.52,0,0,0,0,0,2.99,0.51
FIREX,Fidelity International Real Estate Fund,Global Real Estate,Fidelity Investments,567670000,12.77,1.53,3,9/7/2004,Growth,Medium,USD,1.05,1.28,4.34,95.26,0,0.4,0,0,17.4,0.9,4.08,7.13,"3,723",0,2.62,2.35,91.52,0,0,0,0,0,2.99,0.51
FIRFX,Fidelity Advisor Managed Retirement 2025 Fund Class I,Target-Date 2025,Fidelity Investments,17390000,7.64,1.7,4,12/30/2007,Blend,Large,USD,0.65,0.45,11.32,46.59,41.43,0.04,0.44,0.16,14.37,1.83,1.3,7.05,"34,221.04",4.17,12.41,21.35,2.42,6.51,12.51,2.09,2.44,6.84,10.18,19.08
FIRIX,Fidelity Advisor International Real Estate Fund Class I,Global Real Estate,Fidelity Investments,567670000,12.86,1.6,3,4/3/2007,Growth,Medium,USD,0.96,1.28,4.34,95.26,0,0.4,0,0,17.4,0.9,4.08,7.13,"3,723",0,2.62,2.35,91.52,0,0,0,0,0,2.99,0.51
FIRMX,Fidelity Managed Retirement Income Fund,Target-Date Retirement,Fidelity Investments,5980000,4.36,2.02,4,8/29/2007,Blend,Large,USD,0.45,0.47,18.96,16.5,64.07,0.04,0.21,0.2,14.12,1.76,1.31,6.94,"32,172.49",4.92,12.14,22.51,2.69,6.47,11.01,1.97,2.15,6.77,10.34,19.03
FIRNX,Fidelity Simplicity RMD Income Fund,Target-Date Retirement,Fidelity Investments,16430000,4.35,1.95,5,8/29/2007,Blend,Large,USD,0.47,0.47,23.24,16.55,59.85,0.03,0.21,0.08,14.1,1.75,1.31,6.93,"32,093.18",4.91,12.17,22.48,2.68,6.47,11.04,1.98,2.15,6.78,10.33,19.02
FIROX,Fidelity Managed Retirement 2005 Fund,Target-Date 2000-2010,Fidelity Investments,5540000,4.56,1.95,4,8/29/2007,Blend,Large,USD,0.45,0.47,18.63,17.99,62.91,0.04,0.22,0.19,14.12,1.76,1.31,6.93,"32,312.25",4.86,12.19,22.41,2.66,6.48,11.08,1.99,2.17,6.78,10.25,19.11
FIRPX,Fidelity Simplicity RMD 2005 Fund,Target-Date 2000-2010,Fidelity Investments,17710000,4.54,2.12,4,8/29/2007,Blend,Large,USD,0.48,0.47,22.77,18.18,58.67,0.03,0.22,0.09,14.07,1.75,1.3,6.9,"32,026.57",4.83,12.25,22.36,2.64,6.47,11.18,2.01,2.17,6.81,10.25,19.03
FIRQX,Fidelity Managed Retirement 2010 Fund,Target-Date 2000-2010,Fidelity Investments,8610000,5.41,1.89,5,8/29/2007,Blend,Large,USD,0.46,0.47,16.51,26.03,56.92,0.04,0.28,0.18,14.22,1.79,1.31,6.98,"33,219.18",4.53,12.3,21.91,2.55,6.5,11.74,2.05,2.3,6.82,10.19,19.13
FIRRX,Fidelity Simplicity RMD 2010 Fund,Target-Date 2000-2010,Fidelity Investments,8480000,5.46,1.88,5,8/29/2007,Blend,Large,USD,0.53,0.47,19.84,26.89,52.84,0.03,0.29,0.08,14.19,1.79,1.3,6.96,"33,028.51",4.49,12.36,21.83,2.52,6.49,11.86,2.06,2.3,6.84,10.19,19.07
FIRSX,Fidelity Managed Retirement 2015 Fund,Target-Date 2015,Fidelity Investments,4020000,6.26,1.82,4,8/29/2007,Blend,Large,USD,0.47,0.43,14.66,33.77,50.99,0.04,0.34,0.17,14.3,1.81,1.3,7.01,"33,694.50",4.35,12.35,21.62,2.48,6.5,12.14,2.07,2.37,6.83,10.19,19.1
FIRTX,Fidelity Advisor International Real Estate Fund Class M,Global Real Estate,Fidelity Investments,567670000,12.65,1.19,3,4/3/2007,Growth,Medium,USD,1.65,1.28,4.34,95.26,0,0.4,0,0,17.4,0.9,4.08,7.13,"3,723",0,2.62,2.35,91.52,0,0,0,0,0,2.99,0.51
FIRUX,Fidelity Simplicity RMD 2015 Fund,Target-Date 2015,Fidelity Investments,18330000,6.38,1.77,5,8/29/2007,Blend,Large,USD,0.57,0.43,17.27,35.69,46.56,0.03,0.36,0.07,14.28,1.81,1.3,7,"33,596.68",4.3,12.41,21.54,2.45,6.49,12.27,2.08,2.38,6.84,10.19,19.05
FIRVX,Fidelity Managed Retirement 2020 Fund,Target-Date 2020,Fidelity Investments,3050000,7.04,1.76,4,12/30/2007,Blend,Large,USD,0.47,0.46,12.73,41.31,45.34,0.04,0.4,0.17,14.34,1.82,1.3,7.03,"34,023.38",4.24,12.39,21.45,2.44,6.5,12.38,2.08,2.41,6.83,10.18,19.09
FIRWX,Fidelity Simplicity RMD 2020 Fund,Target-Date 2020,Fidelity Investments,37740000,7.33,1.71,5,12/30/2007,Blend,Large,USD,0.61,0.46,14.61,44.38,40.47,0.03,0.42,0.07,14.34,1.82,1.3,7.03,"34,046.37",4.19,12.43,21.37,2.42,6.5,12.49,2.09,2.42,6.84,10.18,19.07
FISAX,Franklin Adjustable U.S. Government Securities Fund Class A,Short Government,Franklin Templeton Investments,784840000,0.49,2.68,2,10/19/1987,Value,Large,USD,0.96,0.74,6.08,0,93.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FISBX,First Investors Special Situations Class B,Small Value,First Investors,652630000,10.46,0.22,3,1/11/1995,Value,Small,USD,2.07,1.21,3.83,96.17,0,0,0,0,11.58,1.71,1.06,8.88,"2,254.05",3.23,14.74,25.73,7.64,4.25,6.67,5.3,0.01,5.27,15.14,12.02
FISCX,Franklin Convertible Securities Fund Class A,Convertibles,Franklin Templeton Investments,3860000000,13.92,2.48,5,4/14/1987,Value,Small,USD,0.85,1.22,5.15,5.41,0,0,9.71,79.74,0,0,0,0,0,28.4,0,24.42,0,0,0,19.65,0,0,27.53,0
FISDX,Franklin International Small Cap Fund Class R,Foreign Small/Mid Blend,Franklin Templeton Investments,898500000,12.03,1.36,2,5/14/2008,Value,Small,USD,1.63,1.31,1.91,98.09,0,0,0,0,13.52,0.96,0.76,5.63,"2,308.10",2.51,13.05,15.83,11.43,11.95,2.15,0,5.86,6.51,23.96,6.77
FISEX,Franklin Equity Income Fund Class A,Large Value,Franklin Templeton Investments,2300000000,10.53,2.29,4,3/14/1988,Value,Large,USD,0.84,1,1.65,88.94,3.39,0,6.03,0,15.66,2.4,2.13,8.83,"123,780.59",2.98,4.12,19.03,2.87,11.22,14.97,6.31,5.55,10.52,11.43,11.01
FISFX,Nuveen Inflation Protected Securities Fund Class R6,Inflation-Protected Bond,Nuveen,623640000,3.13,2.17,3,1/19/2015,Blend,Large,USD,0.28,0.81,0.97,0,98.78,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FISGX,Nuveen Mid Cap Growth Opportunities Fund Class I,Mid-Cap Growth,Nuveen,476330000,19.85,0,3,12/27/1989,Growth,Medium,USD,0.93,1.19,0.58,99.42,0,0,0,0,21.03,4.19,2.5,13.11,"16,619.23",3.23,16.33,11.14,0,3.26,16.41,0,0,1.08,17.18,31.37
FISHX,Fidelity Advisor Limited Term Municipal Income Fund Class I,Muni National Short,Fidelity Investments,2850000000,1.48,1.59,4,7/22/2003,Value,Medium,USD,0.54,0.64,3.15,0,96.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FISMX,Fidelity International Small Cap Fund,Foreign Small/Mid Blend,Fidelity Investments,2140000000,8.65,1.69,5,9/17/2002,Blend,Small,USD,1.2,1.31,5.51,93.68,0,0.81,0,0,11.58,1.22,0.68,7.78,"1,359.20",9.35,14.62,13.49,6.5,11.31,6.66,0.74,0.73,3.13,21.98,11.49
FISNX,Fidelity Flex Freedom 2010 Fund,Target-Date 2000-2010,Fidelity Investments,108760,6.34,2.38,0,6/7/2017,Blend,Large,USD,0,0.47,17.55,33.17,48.81,0.03,0.34,0.08,14.32,1.81,1.31,7.03,"33,835.54",4.35,12.35,21.61,2.49,6.5,12.11,2.06,2.36,6.81,10.18,19.16
FISPX,Federated Max-Cap Index Fund Institutional Shares,Large Blend,Federated,328930000,13.5,1.34,4,7/10/1990,Blend,Large,USD,0.36,0.94,3.59,96.41,0,0,0,0,16.86,2.96,2,8.67,"104,916.62",2.46,11.94,15.41,2.4,7.71,14.45,3.31,3.67,5.4,10.26,22.99
FISRX,Franklin Income Fund Class R,Allocation - 30% to 50% Equity,Franklin Templeton Investments,75050000000,9.97,4.89,4,1/1/2002,Value,Large,USD,0.97,0.79,4.35,33.67,50.37,1.7,8.75,1.16,13.39,1.87,1.18,6.49,"97,039.73",8.71,6.06,14.65,1.59,9.43,11.75,18.66,4.9,14.49,4.4,5.37
FISSX,First Investors Special Situations Class A,Small Value,First Investors,652630000,10.69,0.28,3,9/17/1990,Value,Small,USD,1.24,1.21,3.83,96.17,0,0,0,0,11.58,1.71,1.06,8.88,"2,254.05",3.23,14.74,25.73,7.64,4.25,6.67,5.3,0.01,5.27,15.14,12.02
FISTX,First Investors Special Situations Fund Advisor Class,Small Value,First Investors,652630000,10.76,0.35,4,4/2/2013,Value,Small,USD,0.95,1.21,3.83,96.17,0,0,0,0,11.58,1.71,1.06,8.88,"2,254.05",3.23,14.74,25.73,7.64,4.25,6.67,5.3,0.01,5.27,15.14,12.02
FISUX,First Investors Special Situations Fund Institutional Class,Small Value,First Investors,652630000,10.8,0.39,4,4/2/2013,Value,Small,USD,0.86,1.21,3.83,96.17,0,0,0,0,11.58,1.71,1.06,8.88,"2,254.05",3.23,14.74,25.73,7.64,4.25,6.67,5.3,0.01,5.27,15.14,12.02
FITAX,First Investors Tax Exempt Income Fund Class A,Muni National Interm,First Investors,647910000,2.33,3.38,4,8/2/1977,Blend,Medium,USD,0.91,0.75,0.93,0,99.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITCX,First Investors Tax Exempt Income Fund Class B,Muni National Interm,First Investors,647910000,2.13,2.6,2,1/11/1995,Blend,Medium,USD,1.72,0.75,0.93,0,99.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITDX,First Investors Tax Exempt Income Fund Advisor Class,Muni National Interm,First Investors,647910000,2.28,3.65,4,4/30/2013,Blend,Medium,USD,0.66,0.75,0.93,0,99.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITEX,First Investors Tax Exempt Income Fund Institutional Class,Muni National Interm,First Investors,647910000,2.52,3.71,4,4/30/2013,Blend,Medium,USD,0.64,0.75,0.93,0,99.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITFX,Fidelity Flex International Index Fund,Foreign Large Blend,Fidelity Investments,303830000,10.25,1.74,0,3/8/2017,Blend,Large,USD,0,1.01,3.45,96.54,0,0.01,0,0,12.96,1.43,1.1,5.88,"33,307.66",7.92,11.11,21.49,3.52,10.1,8.35,3.39,4.05,7.36,10.85,11.85
FITGX,Fidelity Advisor International Growth Fund Class M,Foreign Large Growth,Fidelity Investments,2660000000,12.74,0.24,4,10/31/2007,Growth,Large,USD,1.54,1.13,1.53,98.47,0,0,0,0,20.22,3.22,2.7,17.79,"42,995.96",7.58,8.79,22.28,1.35,7.13,9.16,0,0.43,0.38,22.73,20.17
FITHX,Fidelity Advisor Freedom 2035 Fund Class I,Target-Date 2035,Fidelity Investments,2390000000,11.76,1.64,4,11/5/2003,Blend,Large,USD,0.74,0.45,6.81,81,11.47,0.04,0.59,0.08,15.27,2.01,1.5,7.73,"39,040.51",4.3,10.5,21.85,2.61,6.64,12.1,1.96,3.03,6.61,10.29,20.1
FITIX,Fidelity Advisor Mid Cap II Fund Class M,Mid-Cap Blend,Fidelity Investments,1870000000,15.02,0,2,8/11/2004,Blend,Medium,USD,1.28,1.06,5.78,94.22,0,0,0,0,14.51,1.87,1.08,5.11,"8,732.50",6.45,11.8,17.56,3.67,7.12,13.67,3.33,0,8.12,15.91,12.37
FITKX,Fidelity Freedom 2005 Fund Class K6,Target-Date 2000-2010,Fidelity Investments,961880000,5.28,2.14,3,6/6/2017,Blend,Large,USD,0.38,0.47,20.05,25.19,54.33,0.03,0.28,0.09,14.17,1.78,1.3,6.94,"33,243.67",4.49,12.35,21.87,2.56,6.49,11.81,2.08,2.32,6.86,10.1,19.08
FITLX,Fidelity US Sustainability Index Fund,Large Blend,Fidelity Investments,116330000,13.56,1.2,0,5/8/2017,Blend,Large,USD,0.11,0.94,0.23,99.77,0,0,0,0,17.6,3.6,2.3,8.39,"82,193.77",2.99,12.48,15.31,1.95,7.45,13.33,3.19,3.05,4.39,9.11,26.75
FITQX,Franklin Federal Intermediate-Term Tax-Free Income Fund Class R6,Muni National Interm,Franklin Templeton Investments,3550000000,1.91,2.83,3,7/31/2017,Value,Large,USD,0.4,0.75,1.73,0,98.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITRX,First Investors Total Return Series Class A,Allocation - 50% to 70% Equity,First Investors,868930000,8.1,1.86,3,4/23/1990,Blend,Large,USD,1.13,0.82,1.78,56.19,42.03,0,0,0,13.47,2.49,1.9,10.97,"73,712.78",1.59,8.67,19.49,0,9.04,22.29,0,2.44,9.36,10.52,16.58
FITSX,Federated Government Income Trust Service Shares,Intermediate Government,Federated,287920000,2,2.24,3,6/1/1992,Blend,Large,USD,0.83,0.83,5.86,0,94.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FITTX,Fidelity Advisor Managed Retirement 2025 Fund Class M,Target-Date 2025,Fidelity Investments,17390000,7.51,1.22,3,12/30/2007,Blend,Large,USD,1.15,0.45,11.32,46.59,41.43,0.04,0.44,0.16,14.37,1.83,1.3,7.05,"34,221.04",4.17,12.41,21.35,2.42,6.51,12.51,2.09,2.44,6.84,10.18,19.08
FITUX,First Investors Total Return Fund Advisor Class,Allocation - 50% to 70% Equity,First Investors,868930000,8.1,2.16,2,4/2/2013,Blend,Large,USD,0.84,0.82,1.78,56.19,42.03,0,0,0,13.47,2.49,1.9,10.97,"73,712.78",1.59,8.67,19.49,0,9.04,22.29,0,2.44,9.36,10.52,16.58
FITVX,First Investors Total Return Fund Institutional Class,Allocation - 50% to 70% Equity,First Investors,868930000,8.23,2.33,2,4/2/2013,Blend,Large,USD,0.77,0.82,1.78,56.19,42.03,0,0,0,13.47,2.49,1.9,10.97,"73,712.78",1.59,8.67,19.49,0,9.04,22.29,0,2.44,9.36,10.52,16.58
FITWX,Fidelity Advisor Freedom 2025 Fund Class I,Target-Date 2025,Fidelity Investments,2900000000,9.07,1.74,4,11/5/2003,Blend,Large,USD,0.66,0.45,10.17,56.83,32.43,0.03,0.44,0.08,15.18,1.99,1.49,7.67,"38,591.59",4.39,10.52,22,2.66,6.65,11.88,1.97,2.99,6.64,10.26,20.03
FITZX,Franklin Federal Intermediate-Term Tax-Free Income Fund Advisor Class,Muni National Interm,Franklin Templeton Investments,3550000000,1.9,2.77,3,11/30/2008,Value,Large,USD,0.46,0.75,1.73,0,98.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
