Animal_Id,animal_type,animal_breed,Kennel_Number,Kennel_Status,Tag_Type,Activity_Number,Activity_Sequence,Source_Id,Census_Tract,Council_District,intake_type,Intake_Subtype,Reason,Staff_Id,intake_date,intake_time,Due_Out,intake_condition,Hold_Request,Outcome_Type,Outcome_Date,Outcome_Time,Receipt_Number,Impound_Number,Service_Request_Number,Outcome_Condition,chip_status,Animal_Origin,Additional_Information,animal_stay_days,Month,Year,,,,
A1051141,DOG,LABRADOR RETR,QD 03,UNAVAILABLE,,A19-172562,1,P0875081,20500,6,FOSTER,QUARANTINE,OTHRINTAKS,AH,5/12/2019 0:00,12:22:00,5/21/2019 0:00,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,FOSTER,OTHER,,0:00:00,,K19-460851,,,SCAN CHIP,OVER THE COUNTER,,10,FY2017,NEXT_FY,,,,
A1063082,DOG,AM PIT BULL TER,F4,UNAVAILABLE,,A19-165468,1,P0870824,20500,6,FOSTER,RETURN,OTHER,AT1754,5/20/2019 0:00,17:50:00,5/20/2019 0:00,HEALTHY,ADOP RESCU,FOSTER,,0:00:00,,K19-462025,,HEALTHY,SCAN NO CHIP,FIELD,FOSTER,2,FY2017,NEXT_FY,,,,
A1060581,DOG,LABRADOR RETR,DC 20,UNAVAILABLE,,,1,P0508088,20500,6,FOSTER,TREATMENT,OTHER,BP,5/21/2019 0:00,10:02:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,FOSTER,,0:00:00,,K19-462083,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN CHIP,OVER THE COUNTER,FOSTER,1,FY2017,NEXT_FY,,,,
A1064082,DOG,CHIHUAHUA SH,DC 19,UNAVAILABLE,,,1,P0866795,20500,6,FOSTER,TREATMENT,OTHER,BP,5/21/2019 0:00,9:25:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,FOSTER,,0:00:00,,K19-462063,,TREATABLE REHABILITABLE CONTAGIOUS,SCAN CHIP,OVER THE COUNTER,TRANSPORT,1,FY2017,NEXT_FY,,,,
A1066507,DOG,LABRADOR RETR,DC 24,UNAVAILABLE,,,1,P0063552,20500,6,FOSTER,TREATMENT,OTHER,BP,5/21/2019 0:00,9:29:00,5/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,FOSTER,,0:00:00,,K19-462065,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN CHIP,OVER THE COUNTER,FOSTER,1,FY2017,NEXT_FY,,,,
A1062590,DOG,AM PIT BULL TER,OFFICE,UNAVAILABLE,,,1,P0863065,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,8:40:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,FOSTER,,0:00:00,,K19-462286,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A0965158,DOG,GERM SHEPHERD,DC 21,UNAVAILABLE,,,1,P0864711,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,9:57:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,FOSTER,,0:00:00,,K19-462303,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN CHIP,OVER THE COUNTER,,0,FY2017,NEXT_FY,,,,
A1063888,DOG,LABRADOR RETR,DC 23,UNAVAILABLE,,A19-166727,1,P0063552,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,8:42:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,FOSTER,,0:00:00,,K19-462287,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1067092,DOG,PIT BULL,OFFICE,UNAVAILABLE,,A19-171766,1,P0680840,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,8:40:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,FOSTER,,0:00:00,,K19-462285,,HEALTHY,SCAN NO CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A0798297,DOG,AM PIT BULL TER,F2,AVAILABLE,,A19-160407,1,P0884414,20500,6,FOSTER,TREATMENT,OTHER,BP,5/22/2019 0:00,9:58:00,5/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,FOSTER,,0:00:00,,K19-462305,,TREATABLE REHABILITABLE NON-CONTAGIOUS,SCAN CHIP,OVER THE COUNTER,FOSTER,0,FY2017,NEXT_FY,,,,
A1061670,DOG,CAIRN TERRIER,FOUND,IMPOUNDED,,,1,P0876890,,,FOUND REPORT,,,DG,3/21/2019 0:00,14:14:00,3/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-453994,,,SCAN NO CHIP,OVER THE COUNTER,,62,FY2017,NEXT_FY,,,,
A1064774,DOG,CHIHUAHUA LH,FOUND,IMPOUNDED,,,1,P0880627,10803,3,FOUND REPORT,,,DG,4/20/2019 0:00,13:07:00,4/20/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-457714,,,SCAN NO CHIP,OVER THE COUNTER,,32,FY2017,NEXT_FY,,,,
A1062294,DOG,PIT BULL,PSDOG 04,AVAILABLE,,,1,P0877643,16701,8,OWNER SURRENDER,GENERAL,BEHAVIOR,BW,3/26/2019 0:00,12:07:00,3/26/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-454695,,,SCAN NO CHIP,OVER THE COUNTER,,57,FY2017,NEXT_FY,,,,
A1049500,DOG,LABRADOR RETR,STAR 1,AVAILABLE,,,1,P0863026,20500,6,OWNER SURRENDER,GENERAL,NOTRIGHTFT,BW,4/2/2019 0:00,11:11:00,4/2/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-455481,,,SCAN CHIP,OVER THE COUNTER,,50,FY2017,NEXT_FY,,,,
A1063007,DOG,PIT BULL,PAWS 21,AVAILABLE,,,1,P0878582,7818,13,OWNER SURRENDER,GENERAL,FINANCIAL,AH,4/3/2019 0:00,11:05:00,4/9/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-455595,,,SCAN CHIP,OVER THE COUNTER,FREE  ADOPTION,49,FY2017,NEXT_FY,,,,
A1063337,DOG,PIT BULL,PAWS 17,AVAILABLE,,A19-165805,1,P0879000,12500,9,OWNER SURRENDER,GENERAL,BEHAVIOR,TM1736,4/6/2019 0:00,16:15:00,4/6/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-456013,,,SCAN NO CHIP,FIELD,FREE ADOPTION,46,FY2017,NEXT_FY,,,,
A1058824,DOG,PIT BULL,PAWS 18,AVAILABLE,,,1,P0878020,20500,6,OWNER SURRENDER,RETURN30,OTHRINTAKS,AH,4/15/2019 0:00,11:05:00,4/15/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-457002,,,SCAN CHIP,OVER THE COUNTER,FREE ADOPTION,37,FY2017,NEXT_FY,,,,
A1064194,DOG,GERM SHEPHERD,PSDOG 16,AVAILABLE,,A19-167116,1,P0758030,5600,4,OWNER SURRENDER,GENERAL,OTHRINTAKS,RV1213,4/15/2019 0:00,16:50:00,4/15/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-457076,,,SCAN CHIP,FIELD,,37,FY2017,NEXT_FY,,,,
A1064550,DOG,PIT BULL,PAWS 05,EU RISK,,,1,P0880358,16510,3,OWNER SURRENDER,GENERAL,HOUSING,CBM,4/18/2019 0:00,15:12:00,4/18/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,TRANSFER,,0:00:00,,K19-457458,,,SCAN NO CHIP,OVER THE COUNTER,TAGGED,34,FY2017,NEXT_FY,,,,
A1064923,DOG,PIT BULL,OFFICE,AVAILABLE,,,1,P0491368,12302,7,OWNER SURRENDER,GENERAL,PERSNLISSU,IF,4/21/2019 0:00,15:34:00,4/21/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-457833,,,SCAN NO CHIP,OVER THE COUNTER,,31,FY2017,NEXT_FY,,,,
A1053400,DOG,PIT BULL,PAWS 16,AVAILABLE,,,1,P0880705,20500,6,OWNER SURRENDER,RETURN30,OTHRINTAKS,AH,4/22/2019 0:00,12:17:00,4/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-457900,,,SCAN CHIP,OVER THE COUNTER,FREE ADOPTION,30,FY2017,NEXT_FY,,,,
A1064056,DOG,PIT BULL,AD 017,AVAILABLE,,,1,P0834588,13611,11,OWNER SURRENDER,RETURN30,OTHER,IF,4/22/2019 0:00,17:00:00,4/22/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-457945,,,SCAN CHIP,OVER THE COUNTER,,30,FY2017,NEXT_FY,,,,
A1065848,DOG,LABRADOR RETR,PAWS 02,AVAILABLE,,,1,P0691895,8900,4,OWNER SURRENDER,GENERAL,NOTRIGHTFT,JR/LS,4/27/2019 0:00,15:04:00,4/27/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-458875,,,SCAN CHIP,OVER THE COUNTER,FREE ADOPTION,25,FY2017,NEXT_FY,,,,
A1065874,DOG,BOXER,AD 003,AVAILABLE,,,1,P0881849,9900,6,OWNER SURRENDER,GENERAL,PERSNLISSU,IF,4/27/2019 0:00,18:01:00,4/27/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-458905,,,SCAN NO CHIP,OVER THE COUNTER,,25,FY2017,NEXT_FY,,,,
A1065954,DOG,DOBERMAN PINSCH,AD 085,AVAILABLE,,A19-169705,1,P0881967,17102,8,OWNER SURRENDER,GENERAL,FINANCIAL,CS1750,4/28/2019 0:00,18:42:00,4/28/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-459005,,,SCAN NO CHIP,FIELD,NASAL DISCHARGE,24,FY2017,NEXT_FY,,,,
A1066053,DOG,CHIHUAHUA SH,LFD 028,AVAILABLE,,,1,P0622370,10904,8,OWNER SURRENDER,GENERAL,HOUSING,JZ,4/29/2019 0:00,15:30:00,4/29/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459122,,,SCAN NO CHIP,OVER THE COUNTER,,23,FY2017,NEXT_FY,,,,
A1066020,DOG,BOXER,AD 016,AVAILABLE,,,1,P0882035,10601,6,OWNER SURRENDER,GENERAL,OTHRINTAKS,BW,4/29/2019 0:00,13:51:00,5/5/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459087,,,SCAN CHIP,OVER THE COUNTER,,23,FY2017,NEXT_FY,,,,
A1066139,DOG,LABRADOR RETR,LFD 011,AVAILABLE,,,1,P0882148,4000,7,OWNER SURRENDER,GENERAL,OTHRINTAKS,JZ,4/30/2019 0:00,11:56:00,4/30/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459220,,,SCAN NO CHIP,OVER THE COUNTER,FREE AADOPTION,22,FY2017,NEXT_FY,,,,
A1066136,DOG,LABRADOR RETR,LFD 011,AVAILABLE,,,1,P0882148,4000,7,OWNER SURRENDER,GENERAL,OTHRINTAKS,JZ,4/30/2019 0:00,11:50:00,4/30/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459217,,,SCAN NO CHIP,OVER THE COUNTER,FREE ADOPTION,22,FY2017,NEXT_FY,,,,
A1066238,DOG,MASTIFF,LFD 018,AVAILABLE,,,1,P0882265,16520,3,OWNER SURRENDER,GENERAL,NOTRIGHTFT,AH,5/1/2019 0:00,11:06:00,5/1/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459362,,,SCAN NO CHIP,OVER THE COUNTER,,21,FY2017,NEXT_FY,,,,
A1066388,DOG,PIT BULL,LFD 023,EU RISK,,,1,P0882414,11200,3,OWNER SURRENDER,GENERAL,OTHRINTAKS,AH,5/2/2019 0:00,12:47:00,5/8/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459537,,,SCAN CHIP,OVER THE COUNTER,,20,FY2017,NEXT_FY,,,,
A1066422,DOG,PIT BULL,LFD 001,AVAILABLE,,A19-170560,1,P0882433,9304,8,OWNER SURRENDER,GENERAL,OTHER,AV1171,5/2/2019 0:00,14:40:00,5/2/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459574,,,SCAN NO CHIP,FIELD,,20,FY2017,NEXT_FY,,,,
A1066413,DOG,PIT BULL,LFD 015,AVAILABLE,,A19-170599,1,P0882405,11500,7,OWNER SURRENDER,GENERAL,HOUSING,AR1758,5/2/2019 0:00,14:22:00,5/2/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459564,,,SCAN NO CHIP,FIELD,,20,FY2017,NEXT_FY,,,,
A1066336,DOG,PIT BULL,PAWS 12,AVAILABLE,,A19-170486,1,P0882338,5700,4,OWNER SURRENDER,GENERAL,PERSNLISSU,TM1736,5/2/2019 0:00,2:07:00,5/2/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459473,,,SCAN NO CHIP,FIELD,,20,FY2017,NEXT_FY,,,,
A1066419,DOG,PIT BULL,LFD 001,AVAILABLE,,A19-170560,1,P0882433,9304,8,OWNER SURRENDER,GENERAL,OTHER,AV1171,5/2/2019 0:00,14:40:00,5/2/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459573,,,SCAN NO CHIP,FIELD,,20,FY2017,NEXT_FY,,,,
A1066381,DOG,GOLDEN RETR,LFD 021,AVAILABLE,,,1,P0882406,6301,4,OWNER SURRENDER,GENERAL,PERSNLISSU,IF,5/2/2019 0:00,12:01:00,5/4/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459528,,,SCAN CHIP,OVER THE COUNTER,,20,FY2017,NEXT_FY,,,,
A1066489,DOG,PIT BULL,AD 055,AVAILABLE,,,1,P0882515,9000,7,OWNER SURRENDER,GENERAL,HOUSING,IF,5/3/2019 0:00,11:29:00,5/4/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459653,,,SCAN CHIP,OVER THE COUNTER,,19,FY2017,NEXT_FY,,,,
A1066515,DOG,CHIHUAHUA LH,STAR 5,AVAILABLE,,,1,P0673150,20500,6,OWNER SURRENDER,GENERAL,OTHRINTAKS,DL,5/3/2019 0:00,13:26:00,5/3/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459684,,,SCAN NO CHIP,OVER THE COUNTER,,19,FY2017,NEXT_FY,,,,
A0843005,DOG,LABRADOR RETR,LFD 006,AVAILABLE,,,1,P0673150,20500,6,OWNER SURRENDER,GENERAL,OTHRINTAKS,DL,5/3/2019 0:00,13:26:00,5/3/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-459682,,,SCAN CHIP,OVER THE COUNTER,,19,FY2017,NEXT_FY,,,,
A1060027,DOG,PIT BULL,STAR 2,AVAILABLE,,,1,P0882647,12204,7,OWNER SURRENDER,RETURN30,NOTRIGHTFT,DG,5/4/2019 0:00,14:26:00,5/4/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-459843,,,SCAN NO CHIP,OVER THE COUNTER,,18,FY2017,NEXT_FY,,,,
A0814886,DOG,GERM SHEPHERD,PAWS 03,AVAILABLE,,,1,P0657323,11900,5,OWNER SURRENDER,GENERAL,HOUSING,IF,5/6/2019 0:00,15:20:00,5/12/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460111,,,SCAN CHIP,OVER THE COUNTER,FREE ADOPTION,16,FY2017,NEXT_FY,,,,
A0866531,DOG,LABRADOR RETR,PAWS 13,AVAILABLE,,,1,P0719575,9103,5,OWNER SURRENDER,GENERAL,HOUSING,IF,5/6/2019 0:00,14:31:00,5/6/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460104,,,SCAN CHIP,OVER THE COUNTER,,16,FY2017,NEXT_FY,,,,
A1064785,DOG,PIT BULL,STAR 5,AVAILABLE,,,1,P0880718,20500,6,OWNER SURRENDER,GENERAL,PERSNLISSU,BW,5/6/2019 0:00,17:19:00,5/6/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460126,,,SCAN CHIP,OVER THE COUNTER,,16,FY2017,NEXT_FY,,,,
A1052605,DOG,GERM SHEPHERD,AD 080,AVAILABLE,,,1,P0865770,5600,4,OWNER SURRENDER,GENERAL,BEHAVIOR,BW,5/8/2019 0:00,17:38:00,5/8/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460393,,,SCAN CHIP,OVER THE COUNTER,,14,FY2017,NEXT_FY,,,,
A1067099,DOG,PIT BULL,LFD 014,AVAILABLE,,,1,P0883218,10803,3,OWNER SURRENDER,GENERAL,HOUSING,AH,5/8/2019 0:00,17:20:00,5/8/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,MEDICAL,OTHER,,0:00:00,,K19-460387,,,SCAN NO CHIP,OVER THE COUNTER,,14,FY2017,NEXT_FY,,,,
A1054861,DOG,PIT BULL,AD 047,EU RISK,,,1,P0882168,4500,1,OWNER SURRENDER,RETURN30,HOUSING,AH,5/8/2019 0:00,13:50:00,5/8/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460358,,,SCAN CHIP,OVER THE COUNTER,,14,FY2017,NEXT_FY,,,,
A1067171,DOG,LABRADOR RETR,AD 089,AVAILABLE,,,1,P0883303,11001,3,OWNER SURRENDER,GENERAL,HOUSING,CBM,5/9/2019 0:00,13:12:00,5/9/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460480,,,SCAN NO CHIP,OVER THE COUNTER,,13,FY2017,NEXT_FY,,,,
A1058802,DOG,PIT BULL,PAWS 20,AVAILABLE,,,1,P0882601,8802,4,OWNER SURRENDER,RETURN30,BEHAVIOR,AH,5/9/2019 0:00,16:56:00,5/9/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460524,,,SCAN CHIP,OVER THE COUNTER,,13,FY2017,NEXT_FY,,,,
A1067296,DOG,PIT BULL,AD 058,AVAILABLE,,,1,P0883463,12500,9,OWNER SURRENDER,GENERAL,PERSNLISSU,DL,5/10/2019 0:00,15:16:00,5/10/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460644,,,SCAN NO CHIP,OVER THE COUNTER,,12,FY2017,NEXT_FY,,,,
A1034310,DOG,LABRADOR RETR,AD 090,AVAILABLE,,A19-172049,1,P0783378,1204,2,OWNER SURRENDER,GENERAL,BEHAVIOR,TM1736,5/10/2019 0:00,4:45:00,5/10/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460548,,,SCAN CHIP,FIELD,,12,FY2017,NEXT_FY,,,,
A1065903,DOG,AUST KELPIE,OFFICE,IMPOUNDED,,A19-172305,1,P0793257,20300,7,OWNER SURRENDER,GENERAL,MEDICAL,ER1768,5/11/2019 0:00,14:43:00,5/12/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,,OTHER,,0:00:00,,K19-460775,,,SCAN CHIP,FIELD,,11,FY2017,NEXT_FY,,,,
A1027582,DOG,PIT BULL,AD 005,AVAILABLE,,,1,P0831598,10102,6,OWNER SURRENDER,GENERAL,NOTRIGHTFT,IF,5/11/2019 0:00,10:22:00,5/11/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460719,,,SCAN CHIP,OVER THE COUNTER,,11,FY2017,NEXT_FY,,,,
A1058717,DOG,PIT BULL,AD 002,AVAILABLE,,,1,P0873303,1302,14,OWNER SURRENDER,GENERAL,FINANCIAL,IF,5/11/2019 0:00,14:53:00,5/11/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460777,,,SCAN CHIP,OVER THE COUNTER,,11,FY2017,NEXT_FY,,,,
A1050761,DOG,AUST CATTLE DOG,AD 006,AVAILABLE,,,1,P0865357,20500,6,OWNER SURRENDER,GENERAL,OTHRINTAKS,DL,5/11/2019 0:00,17:05:00,5/11/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460788,,,SCAN CHIP,OVER THE COUNTER,,11,FY2017,NEXT_FY,,,,
A0901301,DOG,LABRADOR RETR,AD 060,AVAILABLE,,,1,P0883543,20500,6,OWNER SURRENDER,GENERAL,FINANCIAL,IF,5/11/2019 0:00,12:38:00,5/17/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460737,,,SCAN CHIP,OVER THE COUNTER,,11,FY2017,NEXT_FY,,,,
A1055594,DOG,PIT BULL,AD 027,AVAILABLE,,A19-172547,1,P0514301,8802,4,OWNER SURRENDER,GENERAL,OTHER,RV1213,5/12/2019 0:00,16:02:00,5/18/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460911,,,SCAN CHIP,FIELD,,10,FY2017,NEXT_FY,,,,
A1067466,DOG,PIT BULL,AD 036,EU RISK,,,1,P0883701,10704,6,OWNER SURRENDER,GENERAL,HOUSING,BW,5/12/2019 0:00,14:30:00,5/12/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460878,,,SCAN NO CHIP,OVER THE COUNTER,,10,FY2017,NEXT_FY,,,,
A1067478,DOG,PIT BULL,AD 078,AVAILABLE,,,1,P0653328,11105,8,OWNER SURRENDER,GENERAL,HOUSING,AH,5/12/2019 0:00,15:22:00,5/12/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-460894,,,SCAN NO CHIP,OVER THE COUNTER,,10,FY2017,NEXT_FY,,,,
A1046424,DOG,LABRADOR RETR,AD 028,AVAILABLE,,A19-172404,1,P0876125,6002,4,OWNER SURRENDER,GENERAL,BEHAVIOR,JO1195,5/13/2019 0:00,12:51:00,5/13/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461004,,,SCAN CHIP,FIELD,,9,FY2017,NEXT_FY,,,,
A1059772,DOG,GOLDEN RETR,AD 049,AVAILABLE,,A19-172404,1,P0876125,6002,4,OWNER SURRENDER,GENERAL,BEHAVIOR,JO1195,5/13/2019 0:00,12:51:00,5/13/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461003,,,SCAN CHIP,FIELD,,9,FY2017,NEXT_FY,,,,
A1067671,DOG,DUTCH SHEPHERD,FAM GP 02,IMPOUNDED,,,1,P0883895,17102,8,OWNER SURRENDER,GENERAL,BEHAVIOR,DL,5/14/2019 0:00,12:05:00,5/14/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461133,,,SCAN NO CHIP,OVER THE COUNTER,,8,FY2017,NEXT_FY,,,,
A1067667,DOG,DUTCH SHEPHERD,FAM GP 02,IMPOUNDED,,,1,P0883895,17102,8,OWNER SURRENDER,GENERAL,BEHAVIOR,DL,5/14/2019 0:00,12:05:00,5/14/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461129,,,SCAN NO CHIP,OVER THE COUNTER,,8,FY2017,NEXT_FY,,,,
A1067670,DOG,DUTCH SHEPHERD,FAM GP 02,IMPOUNDED,,,1,P0883895,17102,8,OWNER SURRENDER,GENERAL,BEHAVIOR,DL,5/14/2019 0:00,12:05:00,5/14/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461132,,,SCAN NO CHIP,OVER THE COUNTER,,8,FY2017,NEXT_FY,,,,
A1066365,DOG,IBIZAN HOUND,AD 014,AVAILABLE,,,1,P0883798,4500,1,OWNER SURRENDER,RETURN30,BEHAVIOR,CBM,5/14/2019 0:00,12:53:00,5/14/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461141,,,SCAN CHIP,OVER THE COUNTER,,8,FY2017,NEXT_FY,,,,
A1067669,DOG,DUTCH SHEPHERD,FAM GP 02,IMPOUNDED,,,1,P0883895,17102,8,OWNER SURRENDER,GENERAL,BEHAVIOR,DL,5/14/2019 0:00,12:05:00,5/14/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,RESC FOSTR,OTHER,,0:00:00,,K19-461131,,,SCAN NO CHIP,OVER THE COUNTER,,8,FY2017,NEXT_FY,,,,
A0985651,DOG,POINTER,AD 009,EU RISK,,,1,P0837643,19212,11,OWNER SURRENDER,GENERAL,PERSNLISSU,BW,5/14/2019 0:00,10:54:00,5/14/2019 0:00,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOP RESCU,OTHER,,0:00:00,,K19-461114,,,SCAN CHIP,OVER THE COUNTER,,8,FY2017,NEXT_FY,,,,
A1067731,DOG,BOERBOEL,PCD 12,EU RISK,,A19-172620,1,P0883751,6700,3,OWNER SURRENDER,GENERAL,OTHRINTAKS,TM1736,5/14/2019 0:00,20:36:00,5/15/2019 0:00,TREATABLE MANAGEABLE NON-CONTAGIOUS,RESCU ONLY,OTHER,,0:00:00,,K19-461197,,,SCAN NO CHIP,FIELD,,8,FY2017,NEXT_FY,,,,
