mission,company,location,date,time,rocket,price,successful
Soyuz MS-15 (61S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",9/25/2019,13:57:00,Soyuz FG,23680000,TRUE
Soyuz MS-14 (60S),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",8/22/2019,3:38:00,Soyuz 2.1a,8790000,TRUE
"Look Ma, No Hands!",Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",8/19/2019,12:12:00,Electron/Curie,17680000,TRUE
AMOS-17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",8/6/2019,23:23:00,Falcon 9 Block 5,18220000,TRUE
EDRS-C/HYLAS 3 & Intelsat 39,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/6/2019,19:30:00,Ariane 5 ECA,19710000,TRUE
Cosmos 2539,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",8/5/2019,21:56:00,Proton-M/Briz-M,5730000,TRUE
Progress MS-12,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/31/2019,12:10:00,Soyuz 2.1a,19390000,TRUE
CRS-18,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",7/25/2019,22:01:00,Falcon 9 Block 5,17720000,TRUE
Chandrayaan-2 lunar mission,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",7/22/2019,9:13:00,GSLV Mk III,21260000,TRUE
Soyuz MS-13 (59S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",7/20/2019,16:28:00,Soyuz FG,13170000,TRUE
Spektr-RG,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",7/13/2019,12:31:00,Proton-M/DM-3,23850000,TRUE
Falcon Eye 1,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",7/11/2019,1:53:00,Vega,6460000,FALSE
"Meteor-M No.2-2, Landmapper-BC 5 & 6, and Others",Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",7/5/2019,5:41:00,Soyuz 2.1b/Fregat-M,7670000,TRUE
Make it Rain,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",6/29/2019,4:30:00,Electron/Curie,16950000,TRUE
STP-2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",6/25/2019,6:30:00,Falcon Heavy,19200000,TRUE
Eutelsat 7C &  AT&T T-16,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/20/2019,21:43:00,Ariane 5 ECA,5860000,TRUE
RADARSAT Constellation,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",6/12/2019,14:17:00,Falcon 9 Block 5,12720000,TRUE
Yamal-601,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",5/30/2019,17:42:00,Proton-M/Briz-M,4010000,TRUE
Cosmos 2534,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",5/27/2019,6:23:00,Soyuz 2.1b/Fregat-M,1850000,TRUE
Starlink V0.9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",5/24/2019,2:30:00,Falcon 9 Block 5,11630000,TRUE
RISAT-2B,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",5/22/2019,0:00:00,PSLV-CA,18410000,TRUE
That's a Funny Looking Cactus,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",5/5/2019,6:00:00,Electron/Curie,19190000,TRUE
CRS-17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",5/4/2019,6:48:00,Falcon 9 Block 5,14970000,TRUE
CRS NG-11,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",4/17/2019,20:46:00,Antares 230,15660000,TRUE
ArabSat 6A,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",4/11/2019,22:35:00,Falcon Heavy,16110000,TRUE
O3b FM17-FM20,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",4/4/2019,17:04:00,Soyuz ST-B/Fregat-MT,5040000,TRUE
Progress MS-11 (72P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",4/4/2019,11:01:00,Soyuz 2.1a,16090000,TRUE
EMISAT & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",4/1/2019,3:57:00,PSLV-QL,5910000,TRUE
Two Thumbs Up,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",3/28/2019,23:27:00,Electron/Curie,12900000,TRUE
PRISMA,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",3/22/2019,1:50:00,Vega,9940000,TRUE
Soyuz MS-12 (58S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",3/14/2019,19:14:00,Soyuz FG,7900000,TRUE
SpaceX Demo-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",3/2/2019,7:49:00,Falcon 9 Block 5,23300000,TRUE
OneWeb #1,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2/27/2019,21:37:00,Soyuz ST-B/Fregat-M,17370000,TRUE
Nusantara Satu & Beresheet,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",2/22/2019,1:45:00,Falcon 9 Block 5,1340000,TRUE
GSAT-31 & Hellas-Sat-4,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2/5/2019,21:01:00,Ariane 5 ECA,21140000,TRUE
Microsat-R,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1/24/2019,18:07:00,PSLV-DL,22930000,TRUE
Iridium-8,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",1/11/2019,15:31:00,Falcon 9 Block 5,10050000,TRUE
Kanopus-V No. 5-6 & Rideshares,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",12/27/2018,2:07:00,Soyuz 2.1a/Fregat,3660000,TRUE
GPS III SV01,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/23/2018,13:51:00,Falcon 9 Block 5,10560000,TRUE
CSO 1,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/19/2018,16:37:00,Soyuz ST-A/Fregat-M,11440000,TRUE
GSAT-7A,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",12/19/2018,10:40:00,GSLV Mk II,17940000,TRUE
This one's for Pickering,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",12/16/2018,6:33:00,Electron/Curie,3580000,TRUE
CRS-16,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/5/2018,18:16:00,Falcon 9 Block 5,9050000,TRUE
GSAT-11 & GEO-KOMPSAT 2A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/4/2018,20:37:00,Ariane 5 ECA,23560000,TRUE
Spaceflight SSO-A,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",12/3/2018,18:34:00,Falcon 9 Block 5,8510000,TRUE
Soyuz MS-11 (57S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/3/2018,11:31:00,Soyuz FG,24430000,TRUE
HySIS,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",11/29/2018,4:27:00,PSLV-CA,18770000,TRUE
Mohammed VI-B,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",11/21/2018,1:42:00,Vega,11970000,TRUE
CRS NG-10,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",11/17/2018,9:01:00,Antares 230,2680000,TRUE
Progress MS-10 (71P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",11/16/2018,18:14:00,Soyuz FG,20410000,TRUE
Es'hail 2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",11/15/2018,20:46:00,Falcon 9 Block 5,3310000,TRUE
GSAT 29,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",11/14/2018,11:38:00,GSLV Mk III,13090000,TRUE
It's Business Time,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",11/11/2018,3:50:00,Electron/Curie,23060000,TRUE
MetOp C,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",11/7/2018,0:47:00,Soyuz ST-B/Fregat-M,14540000,TRUE
Lotus-S No.4,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",10/25/2018,0:15:00,Soyuz 2.1b,10630000,TRUE
BepiColombo,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/20/2018,1:45:00,Ariane 5 ECA,3140000,TRUE
Soyuz MS-10 (56S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/11/2018,8:40:00,Soyuz FG,19920000,FALSE
SAOCOM 1A,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",10/8/2018,2:21:00,Falcon 9 Block 5,3720000,TRUE
Horizons-3e & Azerspace 2/Intelsat 38,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",9/25/2018,22:38:00,Ariane 5 ECA,15700000,TRUE
SSTL-1 & NovaSAR-S,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",9/16/2018,16:38:00,PSLV-CA,15700000,TRUE
Telstar 18V / APStar 5C,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",9/10/2018,4:45:00,Falcon 9 Block 5,23740000,TRUE
ADM-Aeolus,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",8/22/2018,21:20:00,Vega,13030000,TRUE
Merah Putih (Telkom-4),SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",8/7/2018,5:18:00,Falcon 9 Block 5,8340000,TRUE
Iridium-7,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",7/25/2018,11:39:00,Falcon 9 Block 5,11110000,TRUE
Galileo FOC FM19-FM22,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",7/25/2018,11:25:00,Ariane 5 ES,5730000,TRUE
Telstar 19V,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",7/22/2018,5:50:00,Falcon 9 Block 5,20850000,TRUE
Progress MS-09 (70P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/9/2018,21:51:00,Soyuz 2.1a,24080000,TRUE
CRS-15,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/29/2018,9:42:00,Falcon 9 Block 4,9230000,TRUE
Soyuz MS-09 (55S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",6/6/2018,11:12:00,Soyuz FG,19810000,TRUE
SES-12,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/4/2018,4:29:00,Falcon 9 Block 4,10550000,TRUE
Iridium-6 & GRACE-FO,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",5/22/2018,19:47:00,Falcon 9 Block 4,14580000,TRUE
CRS OA-9E,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",5/21/2018,4:44:00,Antares 230,11570000,TRUE
Bangabandhu-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/11/2018,20:14:00,Falcon 9 Block 5,3480000,TRUE
Transiting Exoplanet Survey Satellite (TESS),SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/18/2018,22:51:00,Falcon 9 Block 4,19290000,TRUE
IRNSS-1I,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",4/11/2018,22:34:00,PSLV-XL,17550000,TRUE
Superbird-B3/DSN-1 & HYLAS-4,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",4/5/2018,21:34:00,Ariane 5 ECA,14360000,TRUE
CRS-14,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/2/2018,20:30:00,Falcon 9 Block 4,8120000,TRUE
Iridium-5,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",3/30/2018,14:14:00,Falcon 9 Block 4,2050000,TRUE
Cosmos 2525,Roscosmos,"Site 43/4, Plesetsk Cosmodrome, Russia",3/29/2018,17:38:00,Soyuz 2.1v,4170000,TRUE
GSAT-6A,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",3/29/2018,11:26:00,GSLV Mk II,5350000,TRUE
Soyuz MS-08 (54S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",3/21/2018,17:44:00,Soyuz FG,16870000,TRUE
O3b FM13-FM16,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",3/9/2018,17:10:00,Soyuz ST-B/Fregat-MT,19780000,TRUE
Hispasat 30W-6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",3/6/2018,5:33:00,Falcon 9 Block 4,8140000,TRUE
"PAZ & Tintin A, Tintin B",SpaceX,"SLC-4E, Vandenberg AFB, California, USA",2/22/2018,14:17:00,Falcon 9 Block 3,10290000,TRUE
Progress MS-08 (69P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2/13/2018,8:13:00,Soyuz 2.1a,19160000,TRUE
Test Flight,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2/6/2018,20:45:00,Falcon Heavy,1690000,TRUE
Kanopus-V No. 3-4 & Rideshares,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",2/1/2018,2:07:00,Soyuz 2.1a/Fregat-M,20620000,TRUE
GovSat-1 / SES-16,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",1/31/2018,21:25:00,Falcon 9 Block 3,15650000,TRUE
SES-14/GOLD & Al Yah-3,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",1/25/2018,22:20:00,Ariane 5 ECA,11130000,FALSE
Still Testing,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",1/21/2018,1:43:00,Electron/Curie,23610000,TRUE
Cartosat-2F & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",1/12/2018,3:58:00,PSLV-XL,21850000,TRUE
Zuma,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",1/8/2018,1:00:00,Falcon 9 Block 4,6750000,TRUE
Iridium-4,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",12/23/2017,1:27:00,Falcon 9 Block 3,2380000,TRUE
Soyuz MS-07 (53S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/17/2017,7:21:00,Soyuz FG,22750000,TRUE
CRS-13,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/15/2017,15:36:00,Falcon 9 Block 3,11710000,TRUE
Galileo FOC FM15-FM18,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/12/2017,18:36:00,Ariane 5 ES,23190000,TRUE
Meteor-M No.2-1 & Rideshares,Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",11/28/2017,5:41:00,Soyuz 2.1b/Fregat-M,18470000,FALSE
CRS OA-8E,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",11/12/2017,12:19:00,Antares 230,2550000,TRUE
Mohammed VI-A,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",11/8/2017,1:42:00,Vega,14280000,TRUE
SkySat & Flock-3m,Northrop,"SLC-576E, Vandenberg AFB, California, USA",10/31/2017,21:37:00,Minotaur C (Taurus),19920000,TRUE
Koreasat 5A,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",10/30/2017,19:34:00,Falcon 9 Block 4,8620000,TRUE
Progress MS-07 (68P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/14/2017,8:46:00,Soyuz 2.1a,8200000,TRUE
SES-11 / EchoStar 105,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",10/11/2017,22:53:00,Falcon 9 Block 3,5950000,TRUE
Iridium-3,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",10/9/2017,12:37:00,Falcon 9 Block 4,13800000,TRUE
"Intelsat 37e, BSAT-4a",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",9/29/2017,21:56:00,Ariane 5 ECA,17960000,TRUE
Amazonas 5,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",9/11/2017,19:23:00,Proton-M/Briz-M,10620000,TRUE
OTV-5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",9/7/2017,14:00:00,Falcon 9 Block 4,1440000,TRUE
IRNSS-1H,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",8/31/2017,13:30:00,PSLV-XL,3860000,FALSE
ORS-5,Northrop,"SLC-46, Cape Canaveral AFS, Florida, USA",8/25/2017,6:04:00,Minotaur IV,21480000,TRUE
Formosat-5,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",8/24/2017,18:51:00,Falcon 9 Block 3,18500000,TRUE
CRS-12,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",8/14/2017,16:31:00,Falcon 9 Block 4,13000000,TRUE
Soyuz MS-06 (52S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",8/12/2017,21:17:00,Soyuz FG,2270000,TRUE
OPSAT 3000 & VEN†æS,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",8/2/2017,1:58:00,Vega,6730000,TRUE
Soyuz MS-05 (51S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",7/28/2017,15:41:00,Soyuz FG,16620000,TRUE
Kanopus-V IK & Rideshares,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/14/2017,6:36:00,Soyuz 2.1a/Fregat,19120000,FALSE
Intelsat 35e,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",7/5/2017,20:25:00,Falcon 9 Block 3,21370000,TRUE
"Hellas Sat 3-Inmarsat S EAN, GSAT-17",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/28/2017,21:15:00,Ariane 5 ECA,21320000,TRUE
Iridium-2,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",6/25/2017,20:25:00,Falcon 9 Block 3,24950000,TRUE
BulgariaSat-1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",6/23/2017,19:10:00,Falcon 9 Block 3,3610000,TRUE
Cartosat-2E & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",6/23/2017,3:59:00,PSLV-XL,22090000,TRUE
Progress MS-06 (67P),Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",6/14/2017,9:20:00,Soyuz 2.1a,5980000,TRUE
Echostar 21,ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",6/8/2017,3:45:00,Proton-M/Briz-M,2740000,TRUE
GSAT-19,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",6/5/2017,11:58:00,GSLV Mk III,24260000,TRUE
CRS-11,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",6/3/2017,21:07:00,Falcon 9 Block 3,2300000,TRUE
"ViaSat 2, Eutelsat 172B",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/1/2017,23:45:00,Ariane 5 ECA,15520000,TRUE
It's a Test,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",5/25/2017,4:20:00,Electron,19200000,FALSE
SES-15,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",5/18/2017,11:54:00,Soyuz ST-A/Fregat-M,16030000,TRUE
Inmarsat-5 F4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/15/2017,23:21:00,Falcon 9 Block 3,11400000,TRUE
GSAT-9,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",5/5/2017,11:27:00,GSLV Mk II,15400000,TRUE
"Koreasat 7, SGDC-1",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",5/4/2017,21:50:00,Ariane 5 ECA,16910000,TRUE
NROL-76,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",5/1/2017,11:15:00,Falcon 9 Block 3,17050000,TRUE
Soyuz MS-04 (50S),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/20/2017,7:13:00,Soyuz FG,13770000,TRUE
SES-10,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",3/30/2017,22:27:00,Falcon 9 Block 3,8360000,TRUE
Echostar 23,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",3/16/2017,6:00:00,Falcon 9 Block 3,23280000,TRUE
Sentinel 2B,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",3/7/2017,1:49:00,Vega,9800000,TRUE
Progress MS-05 (66P),Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2/22/2017,5:58:00,Soyuz U,10030000,TRUE
CRS-10,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2/19/2017,14:39:00,Falcon 9 Block 3,15500000,TRUE
Cartosat-2D & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2/15/2017,3:58:00,PSLV-XL,11820000,TRUE
Intelsat 32e/SkyBrasil-1 & Telkom-3S,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2/14/2017,21:39:00,Ariane 5 ECA,22720000,TRUE
Hispasat AG1,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",1/28/2017,1:03:00,Soyuz ST-B/Fregat-MT,1050000,TRUE
Iridium-1,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",1/14/2017,17:54:00,Falcon 9 Block 3,11640000,TRUE
"Star One D1, JCSAT-15",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",12/21/2016,20:30:00,Ariane 5 ECA,6590000,TRUE
CYGNSS,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",12/15/2016,13:37:00,Pegasus XL,6550000,TRUE
Resourcesat-2A,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",12/7/2016,4:54:00,PSLV-XL,3480000,TRUE
G??kt??rk-1A,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",12/5/2016,13:51:00,Vega,7790000,TRUE
Progress MS-04,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/1/2016,14:52:00,Soyuz U,24900000,FALSE
Soyuz MS-03,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11/17/2016,20:20:00,Soyuz FG,10020000,TRUE
Galileo FOC FM7/FM12-FM14,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/17/2016,13:06:00,Ariane 5 ES,1620000,TRUE
Soyuz MS-02,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/19/2016,8:05:00,Soyuz FG,4150000,TRUE
CRS OA-5,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",10/17/2016,23:45:00,Antares 230,13770000,TRUE
"Sky Muster II, GSAT-18",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/5/2016,20:30:00,Ariane 5 ECA,10020000,TRUE
ScatSat-1 & Rideshares,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",9/26/2016,3:42:00,PSLV-G,8360000,TRUE
PeruSat-1 and SkySats 4-7,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",9/16/2016,1:43:00,Vega,2380000,TRUE
INSAT-3DR,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",9/8/2016,11:20:00,GSLV Mk II,23640000,TRUE
AMOS-6,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",9/1/2016,13:07:00,Falcon 9 Block 3,11300000,FALSE
"Intelsat 33e, Intelsat 36",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/24/2016,22:16:00,Ariane 5 ECA,16680000,TRUE
JCSAT-16,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",8/14/2016,5:26:00,Falcon 9 Block 3,19300000,TRUE
CRS-9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",7/18/2016,4:45:00,Falcon 9 Block 3,17800000,TRUE
Progress MS-03,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/16/2016,21:41:00,Soyuz U,21890000,TRUE
Soyuz MS-01,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",7/7/2016,1:36:00,Soyuz FG,2700000,TRUE
Cartosat-2C & Rideshares,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",6/22/2016,3:56:00,PSLV-XL,24870000,TRUE
"EchoStar 18, BRISat",Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/18/2016,5:20:00,Ariane 5 ECA,23340000,TRUE
ABS-2A & Eutelsat 117 West B,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/15/2016,14:29:00,Falcon 9 Block 3,14090000,TRUE
Intelsat 31 / DLA-2,ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",6/9/2016,7:10:00,Proton-M/Briz-M,9110000,TRUE
Thaicom 8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",5/27/2016,21:39:00,Falcon 9 Block 3,5740000,TRUE
Galileo FOC FM10/FM11,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",5/24/2016,8:48:00,Soyuz ST-B/Fregat-MT,22570000,TRUE
JCSAT-14,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",5/6/2016,5:21:00,Falcon 9 Block 3,19400000,TRUE
IRNSS-1G,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",4/28/2016,7:20:00,PSLV-XL,12630000,TRUE
"Mikhailo Lomonosov, Aist-2D, & SamSat 218",Roscosmos,"Site 1S, Vostochny Cosmodrome, Russia",4/28/2016,2:01:00,Soyuz 2.1a/Volga,7360000,TRUE
"Sentinel 1B, MICROSCOPE & Others",Arianespace,"ELS, Guiana Space Centre, French Guiana, France",4/25/2016,21:02:00,Soyuz ST-A/Fregat-M,5020000,TRUE
CRS-8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",4/8/2016,20:43:00,Falcon 9 Block 3,9970000,TRUE
Progress MS-02,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",3/31/2016,16:23:00,Soyuz 2.1a,19880000,TRUE
Soyuz TMA-20M,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",3/18/2016,21:26:00,Soyuz FG,14930000,TRUE
ExoMars Trace Gas Orbiter & Schiaparelli EDM,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",3/14/2016,9:31:00,Proton-M/Briz-M,11860000,TRUE
Resurs-P No.3,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",3/13/2016,18:56:00,Soyuz 2.1b,22470000,TRUE
IRNSS-1F,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",3/10/2016,10:31:00,PSLV-XL,16640000,TRUE
Eutelsat 65 West A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",3/9/2016,5:20:00,Ariane 5 ECA,19070000,TRUE
SES-9,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",3/4/2016,23:35:00,Falcon 9 Block 3,3760000,TRUE
Eutelsat 9B,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",1/29/2016,22:20:00,Proton-M/Briz-M,11240000,TRUE
Intelsat 29e,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",1/27/2016,23:20:00,Ariane 5 ECA,15390000,TRUE
IRNSS-1E,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",1/20/2016,4:01:00,PSLV-XL,14050000,TRUE
Jason-3,SpaceX,"SLC-4E, Vandenberg AFB, California, USA",1/17/2016,18:42:00,Falcon 9 v1.1,8910000,TRUE
OG2 Mission 2,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",12/22/2015,1:29:00,Falcon 9 Block 3,23620000,TRUE
